#Creator: wheelEventBuffer
#Creation time: Wed Apr  6 16:03:33 2016
#Time	Angular velocity
#[s]	[rad/s]
0.468838	1.031823
0.744284	1.368373
0.958268	1.624603
1.141458	1.839211
1.305024	2.026024
1.454446	2.196027
1.592956	2.353641
1.722608	2.503102
1.844800	2.647960
1.960530	2.789601
2.070532	2.929060
2.175412	3.068561
2.275674	3.205053
2.371760	3.339704
2.464108	3.470836
2.553118	3.594582
2.639156	3.712677
2.722542	3.826917
2.803542	3.935058
2.882404	4.036169
2.959360	4.132152
3.034592	4.222684
3.108282	4.307446
3.180542	4.389048
3.251534	4.464900
3.321330	4.538955
3.389994	4.612392
3.457578	4.685587
3.524096	4.760422
3.589560	4.838877
3.653942	4.920270
3.717252	5.005086
3.779498	5.090402
3.840692	5.177824
3.900872	5.265474
3.960082	5.348666
4.018384	5.429457
4.075830	5.509440
4.132472	5.586047
4.188354	5.658692
4.243550	5.727190
4.298090	5.793731
4.352044	5.855063
4.405418	5.915479
4.458290	5.971474
4.510656	6.027614
4.562532	6.084113
4.613930	6.140481
4.664846	6.199370
4.715274	6.261396
4.765184	6.326713
4.814588	6.392887
4.863468	6.460195
4.911832	6.531921
4.959666	6.604147
5.006994	6.674016
5.053836	6.739880
5.100226	6.805877
5.146176	6.869272
5.191718	6.928354
5.236884	6.984732
5.281688	7.038879
5.326170	7.089391
5.370324	7.138685
5.414214	7.181440
5.457854	7.218070
5.501240	7.260105
5.544330	7.317601
5.587128	7.369787
5.629630	7.411864
5.671838	7.471444
5.713736	7.528379
5.755318	7.581063
5.796574	7.644894
5.837496	7.712458
5.878086	7.770065
5.918360	7.828929
5.958334	7.890277
5.998024	7.943746
6.037446	7.993874
6.076626	8.044228
6.115566	8.091466
6.154298	8.133784
6.192818	8.175695
6.231160	8.214173
6.269318	8.252581
6.307298	8.290038
6.345106	8.328277
6.382732	8.369992
6.420168	8.414379
6.457402	8.460151
6.494420	8.511033
6.531218	8.564865
6.567772	8.621748
6.604090	8.680831
6.640174	8.733925
6.676032	8.787180
6.711674	8.842085
6.747112	8.890629
6.782360	8.934624
6.817436	8.980084
6.852338	9.021343
6.887098	9.058802
6.921704	9.094467
6.956196	9.125639
6.990560	9.158094
7.024798	9.192394
7.058914	9.224785
7.092902	9.260679
7.126752	9.300707
7.160450	9.344416
7.193988	9.390222
7.227360	9.437046
7.260556	9.488350
7.293570	9.545432
7.326400	9.594407
7.359064	9.642111
