#Creator: wheelEventBuffer
#Creation time: Wed Apr  6 16:03:33 2016
#Time	Angular velocity
#[s]	[rad/s]
2.817574	0.170462
4.404914	0.285461
5.383050	0.386818
6.118100	0.491771
6.705494	0.598250
7.193184	0.707582
7.609334	0.818208
7.972260	0.927325
8.294640	1.033990
8.586114	1.133265
8.853912	1.222305
9.103456	1.302733
9.338698	1.374275
9.562698	1.436012
9.777878	1.488258
9.986628	1.526750
10.191124	1.549934
10.393602	1.556970
10.595996	1.550837
10.799714	1.534610
11.005556	1.517634
11.213438	1.503845
11.423066	1.493309
11.634082	1.483899
11.846078	1.478188
12.058260	1.480794
12.269620	1.490673
12.479050	1.507366
12.685246	1.536562
12.886698	1.580357
13.082168	1.634118
13.271220	1.691302
13.454198	1.745795
13.631912	1.792942
13.805324	1.832987
13.975298	1.865798
14.142578	1.892389
14.307810	1.911782
14.471524	1.927570
14.634008	1.939374
14.795500	1.951348
14.955912	1.965166
15.115050	1.982177
15.272588	2.004743
15.428158	2.033104
15.581378	2.066837
15.731984	2.105145
15.879774	2.146073
16.024650	2.191157
16.166610	2.236296
16.305822	2.278465
16.442520	2.319135
16.576948	2.356678
16.709392	2.389008
16.840154	2.417428
16.969522	2.440754
17.097748	2.460559
17.225080	2.475020
17.351748	2.486696
17.477872	2.494753
17.603594	2.502982
17.728858	2.512671
17.853568	2.524909
17.977630	2.539276
18.100914	2.556260
18.223262	2.578077
18.344472	2.604926
18.464322	2.636493
18.582630	2.673878
18.699296	2.712572
18.814358	2.748983
18.927918	2.784656
19.040090	2.818229
19.151022	2.847090
19.260910	2.872024
19.369938	2.892119
19.478294	2.907967
19.586142	2.918719
19.693658	2.926822
19.800928	2.930481
19.908094	2.932669
20.015130	2.937111
20.121952	2.944047
20.228416	2.955958
20.334380	2.972797
20.439672	2.993533
20.544168	3.018730
20.647742	3.046895
20.750290	3.079691
20.851760	3.113077
20.952174	3.144926
21.051578	3.176342
21.150050	3.205641
21.247694	3.230297
21.344642	3.251762
21.441020	3.268747
21.536944	3.282614
21.632538	3.290660
21.727920	3.298191
21.823106	3.301935
21.918190	3.306452
22.013112	3.312379
22.107826	3.320712
22.202236	3.333326
22.296238	3.349746
22.389716	3.370880
22.482570	3.395435
22.574714	3.422736
22.666072	3.454425
22.756614	3.485701
22.846376	3.514872
22.935402	3.543336
23.023744	3.569992
23.111488	3.592034
23.198726	3.611275
23.285548	3.626449
23.372052	3.638292
23.458318	3.645554
23.544436	3.651911
23.630422	3.654545
23.716352	3.657778
23.802204	3.660933
23.887978	3.664263
23.973612	3.671543
24.059032	3.682820
24.144140	3.698863
24.228828	3.719358
24.313004	3.744092
24.396580	3.773322
24.479524	3.802552
24.561852	3.829809
24.643610	3.855850
24.724836	3.880426
24.805594	3.901049
24.885950	3.918957
24.965982	3.932693
25.045758	3.944346
25.125348	3.950695
25.204828	3.956168
25.284260	3.954674
25.363796	3.947121
25.443510	3.935649
25.523432	3.925028
25.603494	3.920913
25.683584	3.922676
25.763566	3.931414
25.843322	3.945436
25.922730	3.965556
26.001676	3.992366
26.080098	4.020055
26.158010	4.045108
26.235440	4.069842
26.312422	4.092960
26.389008	4.112248
26.465258	4.128785
26.541240	4.141194
26.617016	4.151702
26.692638	4.157306
26.768172	4.162483
26.843626	4.163918
26.919056	4.166016
26.994430	4.169665
27.069720	4.175318
27.144870	4.184215
27.219834	4.196624
27.294534	4.213396
27.368920	4.233154
27.442928	4.255632
27.516514	4.282666
27.589652	4.308746
27.662374	4.332036
27.734702	4.355218
27.806664	4.376818
27.878308	4.394328
27.949680	4.409624
28.020838	4.421167
28.091828	4.430644
28.162702	4.435023
28.233516	4.439410
28.304268	4.439912
28.375018	4.441292
28.445728	4.444183
28.516378	4.448714
28.586922	4.457045
28.657310	4.468329
28.727488	4.484146
28.797404	4.502268
28.867014	4.523011
28.936274	4.548418
29.005162	4.573048
29.073702	4.594853
29.141912	4.616730
29.209816	4.637174
29.277452	4.653522
29.344862	4.668043
29.412092	4.678470
29.479184	4.687265
29.546188	4.690905
29.613142	4.694550
29.680056	4.694550
29.746972	4.695111
29.813864	4.697779
29.880708	4.701575
29.947464	4.709469
30.014086	4.720366
30.080532	4.735165
30.146746	4.753507
30.212688	4.773877
30.278328	4.798083
30.343644	4.822092
30.408658	4.842905
30.473392	4.863448
30.537860	4.883406
30.602096	4.899246
30.666136	4.912576
30.730028	4.922275
30.793810	4.929690
30.857526	4.932166
30.921218	4.934180
30.984890	4.932786
31.048590	4.931547
31.112294	4.931082
31.175998	4.932011
31.239656	4.936662
31.303238	4.944587
31.366690	4.956601
31.429972	4.971661
31.493036	4.990457
31.555840	5.013553
31.618364	5.036541
31.680616	5.056645
31.742622	5.076583
31.804400	5.095356
31.865966	5.110774
31.927364	5.123610
31.988630	5.132650
32.049798	5.140209
32.110902	5.142733
32.171982	5.145765
32.233032	5.144923
32.294098	5.144586
32.355156	5.145597
32.416192	5.148633
32.477168	5.154377
32.538062	5.162847
32.598830	5.175947
32.659430	5.191857
32.719828	5.210284
32.779990	5.233022
32.839906	5.254378
32.899608	5.271129
32.959126	5.286207
33.018510	5.296188
33.077836	5.297438
33.137180	5.291727
33.196642	5.276972
33.256298	5.257016
33.316224	5.229190
33.376478	5.200451
33.437072	5.167433
33.498056	5.136343
33.559394	5.106786
33.621082	5.078717
33.683086	5.053717
33.745386	5.031217
33.807944	5.011474
33.870738	4.994583
33.933712	4.981278
33.996836	4.972133
34.060084	4.962551
34.123470	4.950508
34.187008	4.938213
34.250716	4.925053
34.314624	4.907665
34.378768	4.888573
34.443190	4.865255
34.507936	4.840070
34.573058	4.809247
34.638604	4.778378
34.704580	4.744032
34.771042	4.710316
34.837964	4.678470
34.905340	4.647189
34.973150	4.618088
35.041380	4.590287
35.109996	4.566003
35.178954	4.544997
35.248202	4.527443
35.317686	4.514561
35.387372	4.502010
35.457266	4.487861
35.527378	4.473801
35.597730	4.458310
35.668354	4.439159
35.739300	4.418058
35.810618	4.392607
35.882374	4.365021
35.954620	4.332753
36.027418	4.299900
36.100790	4.263139
36.174800	4.226889
36.249438	4.191473
36.324686	4.158186
36.400506	4.128026
36.476846	4.101510
36.553646	4.078931
36.630848	4.059325
36.708392	4.042505
36.786224	4.029749
36.864322	4.016149
36.942702	4.000398
37.021396	3.984265
37.100434	3.966257
37.179866	3.944643
37.259766	3.920424
37.340204	3.891867
37.421286	3.858976
37.503116	3.820495
37.585792	3.780952
37.669350	3.738122
37.753884	3.695730
37.839390	3.652930
37.925880	3.611773
38.013316	3.573565
38.101638	3.539504
38.190742	3.510709
38.280534	3.486397
38.370902	3.465400
38.461770	3.448889
38.553090	3.431709
38.644904	3.412475
38.737242	3.392356
38.830172	3.370084
38.923776	3.343471
39.018176	3.313707
39.113500	3.279119
39.209884	3.241362
39.307476	3.198071
39.406452	3.152437
39.506908	3.102808
39.609004	3.052401
39.712788	3.002459
39.818272	2.954235
39.925398	2.910283
40.034106	2.869454
40.144292	2.832407
40.255836	2.799644
40.368598	2.771537
40.482416	2.748310
40.597202	2.725752
40.712986	2.701562
40.829842	2.676064
40.947890	2.647781
41.067320	2.614813
41.188370	2.577527
41.311320	2.534728
41.436500	2.487011
41.564278	2.432816
41.695088	2.373736
41.829294	2.309825
41.967340	2.244091
42.109482	2.178152
42.255940	2.113473
42.406866	2.050942
42.562370	1.990567
42.722514	1.933788
42.887486	1.877012
43.057304	1.822840
43.232044	1.773729
43.411754	1.724388
43.596852	1.672412
43.787974	1.617760
43.986006	1.558670
44.192230	1.492854
44.408506	1.418544
44.637460	1.333670
44.882946	1.236731
45.151156	1.121997
45.453022	0.984196
45.810314	0.814745
46.289088	0.588117
47.680254	0.139996
49.093600	0.429534
49.747308	0.601699
50.229962	0.731569
50.635080	0.838809
50.993192	0.928773
51.320100	1.002640
51.625076	1.063944
51.914190	1.114261
52.191382	1.155754
52.459348	1.191360
52.719762	1.222943
52.973654	1.252788
53.221612	1.281896
53.463900	1.311576
53.700438	1.344561
53.931032	1.380689
54.155548	1.418595
54.374256	1.455614
54.587202	1.494630
54.794456	1.537735
54.995924	1.582013
55.191856	1.626555
55.382588	1.669054
55.568794	1.707387
55.750958	1.743237
55.929582	1.775613
56.105320	1.802509
56.278860	1.820010
56.450858	1.833564
56.621574	1.846801
56.791012	1.861221
56.959074	1.877281
57.125666	1.894146
57.290710	1.912433
57.454048	1.933811
57.615484	1.957891
57.774846	1.984456
57.931936	2.014745
58.086548	2.048615
58.238526	2.085802
58.387744	2.125225
58.534196	2.165899
58.677906	2.206670
58.819124	2.244412
58.958042	2.279887
