#Creator: wheelEventBuffer
#Creation time: Wed Apr  6 16:03:33 2016
#Time	Angular velocity
#[s]	[rad/s]
0.097390	3.780224
0.180494	3.779587
0.263574	3.782499
0.346558	3.788155
0.429370	3.798139
0.511928	3.811965
0.594192	3.826078
0.676186	3.837482
0.757928	3.849236
0.839452	3.858882
0.920810	3.864673
1.002070	3.868480
1.083290	3.868099
1.164556	3.864768
1.245928	3.857271
1.327482	3.848482
1.409230	3.836451
1.491240	3.825426
1.573474	3.815298
1.655942	3.804210
1.738646	3.792545
1.821574	3.783137
1.904654	3.778405
1.987798	3.777769
2.070896	3.781953
2.153846	3.791813
2.236562	3.803841
2.319026	3.815576
2.401238	3.827476
2.483210	3.838138
2.565004	3.844620
2.646688	3.848293
2.728336	3.847916
2.810014	3.845655
2.891796	3.837950
2.973770	3.828409
3.055962	3.815391
3.138430	3.803381
3.221132	3.793827
3.304028	3.785416
3.387076	3.779587
3.470230	3.775499
3.553412	3.776770
3.636524	3.782317
3.719460	3.792270
3.802142	3.806515
3.884526	3.820587
3.966630	3.832519
4.048474	3.844526
4.130088	3.855093
4.211524	3.861253
4.292852	3.865339
4.374140	3.865053
4.455458	3.862202
4.536888	3.854904
4.618488	3.846409
4.700282	3.834390
4.782336	3.823098
4.864628	3.812427
4.947134	3.802552
5.029812	3.796028
5.112604	3.792179
5.195416	3.793644
5.278164	3.798874
5.360744	3.808453
5.443080	3.822261
5.525126	3.836076
5.606896	3.848199
5.688412	3.860019
5.769704	3.869910
5.850828	3.876308
5.931844	3.879755
6.012832	3.879467
6.093848	3.876691
6.174978	3.868766
6.256284	3.860304
6.337790	3.847822
6.419562	3.836170
6.501574	3.825146
6.583832	3.813816
6.666322	3.802644
6.749032	3.792911
6.831896	3.788338
6.914804	3.789069
6.997634	3.794927
7.080286	3.806422
7.162680	3.819287
7.244818	3.830463
7.326712	3.842175
7.408380	3.852163
7.489878	3.858123
7.571278	3.861823
7.652644	3.861158
7.734052	3.857839
7.815578	3.849802
7.897288	3.841141
