#Creator: wheelEventBuffer
#Creation time: Wed Apr  6 16:03:33 2016
#Time	Angular velocity
#[s]	[rad/s]
0.374512	2.021149
0.511718	3.686190
0.594074	4.245625
0.668100	4.270673
0.741668	4.269396
0.815228	4.270905
0.888728	4.276952
0.962106	4.285237
1.035308	4.296959
1.108310	4.310401
1.181104	4.321786
1.253708	4.332036
1.326148	4.341975
1.398450	4.349188
1.470648	4.353890
1.542804	4.354976
1.614960	4.353286
1.687188	4.347623
1.759520	4.338497
1.832056	4.325475
1.904792	4.312649
1.977738	4.300370
2.050888	4.288864
2.124210	4.279399
2.197662	4.274159
2.271166	4.272648
2.344664	4.275439
2.418090	4.280799
2.491384	4.290738
2.564504	4.302491
2.637442	4.312531
2.710206	4.321905
2.782814	4.332156
2.855280	4.339336
2.927646	4.343656
2.999974	4.344617
3.072298	4.342935
3.144696	4.337659
3.217176	4.330245
3.289832	4.319409
3.362656	4.308509
3.435650	4.298370
3.508806	4.290152
3.582084	4.283484
3.655436	4.281382
3.728792	4.283017
3.802088	4.288512
3.875268	4.296724
3.948274	4.308509
4.021080	4.321905
4.093680	4.333470
4.166086	4.344016
4.238326	4.354010
4.310426	4.361506
4.382422	4.365870
4.454382	4.367084
4.526338	4.365142
4.598374	4.358964
4.670514	4.350272
4.742848	4.337539
4.815380	4.325356
4.888112	4.312886
4.961044	4.301666
5.034152	4.292262
5.107384	4.286757
5.180678	4.284769
5.253960	4.287927
5.327166	4.294257
5.400214	4.305793
5.473066	4.319053
5.545712	4.330722
5.618166	4.341135
5.690452	4.351236
5.762600	4.358722
5.834640	4.363202
5.906646	4.364050
5.978650	4.362596
6.050720	4.357030
6.122882	4.349309
6.195224	4.337898
6.267736	4.327024
6.340422	4.316442
6.413276	4.307564
6.486268	4.300135
6.559360	4.295549
6.632510	4.293084
6.705672	4.294375
6.778782	4.298723
6.851774	4.307919
6.924604	4.319409
6.997256	4.329648
7.069730	4.339576
7.142042	4.349429
7.214218	4.357271
7.286284	4.361627
7.358314	4.362596
7.430338	4.361385
7.502428	4.355942
7.574608	4.348466
7.646960	4.337299
7.719482	4.326547
7.792172	4.316442
7.865024	4.307682
7.937998	4.301548
8.011044	4.299547
8.084090	4.301077
8.157078	4.306619
8.229950	4.314782
8.302644	4.327263
8.375138	4.340775
8.447426	4.351960
8.519524	4.362233
8.591456	4.373041
8.663244	4.380358
8.734934	4.384637
8.806582	4.385984
8.878226	4.384393
8.949934	4.379259
9.021726	4.371946
9.093688	4.361143
9.165810	4.350513
9.238108	4.339936
9.310582	4.329529
9.383218	4.319884
9.455980	4.314663
9.528788	4.313952
9.601574	4.317391
9.674276	4.324165
9.746818	4.335863
9.819162	4.349670
9.891294	4.361627
9.963236	4.372189
10.035004	4.382802
10.106634	4.390152
10.178162	4.394328
10.249656	4.395311
10.321144	4.393959
10.392700	4.388680
10.464336	4.381457
10.536140	4.370729
10.608108	4.359932
10.680240	4.349911
10.752528	4.341375
10.824938	4.335145
10.897416	4.333231
10.969896	4.334547
11.042320	4.340176
11.114634	4.347984
11.186780	4.359690
11.258732	4.373406
11.330482	4.384393
11.402050	4.394696
11.473456	4.404802
11.544732	4.411606
11.615910	4.416195
11.687050	4.416940
11.758192	4.415450
11.829400	4.409872
11.900692	4.402579
11.972156	4.391379
12.043782	4.380602
12.115576	4.370486
12.187524	4.361869
12.259592	4.355701
12.331730	4.353648
12.403870	4.355097
12.475950	4.360900
12.547922	4.368541
12.619728	4.380480
12.691342	4.393713
12.762758	4.405049
12.833990	4.415450
12.905068	4.424903
12.976014	4.432144
13.046868	4.436275
13.117688	4.436776
13.188522	4.434146
13.259436	4.427772
13.330448	4.419425
13.401642	4.407521
13.473014	4.396295
13.544556	4.385127
13.616268	4.376087
13.688102	4.369878
13.760006	4.367691
13.831918	4.368663
13.903788	4.373163
13.975566	4.379869
14.047196	4.390520
14.118640	4.404184
14.189892	4.415078
14.260962	4.425277
14.331878	4.435398
14.402660	4.442297
14.473352	4.446195
14.544010	4.447328
14.614666	4.445566
14.685392	4.440037
14.756200	4.432645
14.827180	4.421291
14.898320	4.410615
14.969628	4.400113
15.041090	4.391747
15.112670	4.385249
15.184326	4.382558
15.256004	4.382802
15.327650	4.386107
15.399224	4.391870
15.470666	4.401716
15.541958	4.412225
15.613100	4.420420
15.684102	4.428396
15.754982	4.436401
15.825760	4.441920
15.896460	4.445189
15.967148	4.445063
16.037844	4.442423
16.108626	4.436150
16.179504	4.428021
16.250562	4.415946
16.321798	4.404184
16.393212	4.393344
16.464788	4.384270
16.536494	4.377672
16.608282	4.374137
16.680104	4.373285
16.751906	4.376696
16.823624	4.383047
16.895196	4.394573
16.966580	4.407644
17.037768	4.419425
17.108772	4.429395
17.179622	4.439410
17.250338	4.446573
17.320970	4.449722
17.391576	4.450226
17.462206	4.446825
17.532918	4.439033
17.603748	4.431769
17.674744	4.420047
17.745908	4.408882
17.817250	4.397526
17.888778	4.386841
17.960460	4.377306
18.032262	4.373041
18.104098	4.372311
18.175902	4.376696
18.247610	4.384882
18.319154	4.396295
18.390512	4.409377
18.461678	4.420420
18.532674	4.429395
18.603548	4.436902
18.674338	4.440163
18.745116	4.438030
18.815972	4.431394
18.886962	4.419923
18.958184	4.403814
19.029676	4.384637
19.101528	4.361627
19.173744	4.338977
19.246330	4.316798
19.319278	4.295901
19.392552	4.277884
19.466104	4.264297
19.539862	4.253558
19.613778	4.246084
19.687806	4.240811
19.761886	4.239552
19.835986	4.240124
19.910090	4.239437
19.984212	4.237265
20.058376	4.234980
20.132610	4.229962
20.206956	4.221776
20.281476	4.210912
20.356212	4.196624
20.431244	4.179095
20.506592	4.159287
20.582348	4.136178
20.658526	4.112463
20.735124	4.089444
20.812140	4.068367
20.889536	4.049279
20.967256	4.034407
21.045222	4.023350
21.123364	4.016355
21.201620	4.012251
21.279910	4.011944
21.358210	4.012969
21.436502	4.013071
21.514798	4.011636
21.593138	4.008974
21.671558	4.004375
21.750098	3.996225
21.828832	3.984972
21.907820	3.970367
21.987148	3.951788
22.066850	3.931020
22.147038	3.906385
22.227718	3.881576
22.308898	3.857650
22.390574	3.834765
22.472702	3.814927
22.555218	3.798874
22.638030	3.787242
22.721064	3.779223
22.804236	3.774229
22.887480	3.772688
22.970742	3.773685
23.054012	3.772688
23.137302	3.770695
23.220652	3.768163
23.304096	3.762567
23.387700	3.753665
23.471542	3.741417
23.555692	3.725886
23.640248	3.706457
23.725254	3.684720
23.810834	3.658971
23.897002	3.632991
23.983774	3.607460
24.071148	3.583511
24.159066	3.562220
24.247462	3.545095
24.336236	3.531625
24.425320	3.521175
24.514624	3.513378
24.604052	3.511101
24.693530	3.511258
24.783024	3.510003
24.872560	3.507494
24.962168	3.504755
25.051898	3.498667
25.141822	3.489108
25.232056	3.475521
25.322662	3.459294
25.413784	3.438244
25.505466	3.414626
25.597880	3.386432
25.691044	3.357837
25.784970	3.331134
25.879652	3.304644
25.975020	3.282545
26.071002	3.263653
26.167462	3.248669
26.264342	3.237020
26.361460	3.229433
26.458774	3.228504
26.556092	3.226183
26.653494	3.225521
26.750950	3.222014
26.848518	3.218251
26.946268	3.210555
27.044296	3.199830
27.142710	3.185553
27.241614	3.168078
27.341158	3.145682
27.441444	3.119692
27.542646	3.090598
27.644814	3.059893
27.747994	3.029267
27.852192	3.000623
27.957384	2.972572
28.063550	2.945703
28.170618	2.921651
28.278456	2.903613
28.386912	2.889086
28.495782	2.880134
28.604928	2.876126
28.714242	2.872287
28.823712	2.867254
28.933388	2.861977
29.043344	2.853192
29.153702	2.841373
29.264628	2.824310
29.376290	2.803542
29.488902	2.777860
29.602614	2.748213
29.717734	2.712525
29.834388	2.674288
29.952712	2.635741
30.072662	2.601561
30.194082	2.572124
30.316782	2.547926
30.440508	2.528974
30.565032	2.515729
30.690122	2.506257
30.815544	2.501905
30.941170	2.499835
31.066944	2.496379
31.192918	2.491469
31.319212	2.484415
31.445980	2.473306
31.573422	2.457826
31.701812	2.437649
31.831402	2.412305
31.962540	2.381149
32.095482	2.345873
32.230596	2.306433
32.368072	2.265158
32.508066	2.223318
32.650634	2.183785
32.795700	2.147070
32.943098	2.115180
33.092540	2.088186
33.243680	2.067517
33.396064	2.053865
33.549236	2.046907
33.702852	2.043073
33.856786	2.039015
34.011088	2.033420
34.165916	2.025501
34.321536	2.013428
34.478318	1.995701
34.636772	1.971703
34.797412	1.941412
34.960912	1.904273
35.127846	1.861420
35.299006	1.812513
35.474910	1.761259
35.656046	1.708873
35.842700	1.658183
36.034870	1.611387
36.232286	1.570812
36.434452	1.536472
36.640894	1.506831
36.851254	1.479622
37.065036	1.458249
37.281826	1.440014
37.501406	1.422011
37.723972	1.401946
37.950048	1.378653
38.180472	1.350154
38.416344	1.316038
38.659174	1.274780
38.910984	1.224726
39.174690	1.164105
39.454236	1.091187
39.755544	1.004686
40.086558	0.906319
40.458980	0.797213
40.891084	0.678187
41.415766	0.548942
42.108464	0.405116
