#Creator: pendulumdriveEventBuffer
#Creation time: Wed Apr 20 15:41:28 2016
#Time	Pos
#[s]	[au]
0.050	550
0.100	548
0.150	550
0.201	550
0.251	547
0.301	548
0.351	546
0.401	545
0.452	545
0.502	542
0.552	543
0.602	544
0.652	543
0.702	542
0.753	541
0.803	541
0.853	538
0.904	538
0.954	538
1.004	539
1.055	539
1.105	543
1.155	544
1.205	545
1.255	547
1.306	546
1.356	548
1.406	549
1.456	547
1.506	547
1.556	547
1.607	545
1.657	544
1.707	544
1.757	544
1.808	545
1.859	544
1.909	543
1.959	544
2.009	542
2.059	541
2.109	540
2.160	540
2.210	540
2.260	540
2.310	541
2.360	541
2.410	543
2.461	545
2.511	545
2.561	548
2.611	549
2.662	547
2.713	547
2.763	546
2.813	545
2.863	544
2.913	544
2.963	544
3.014	544
3.064	544
3.114	544
3.164	543
3.214	542
3.264	543
3.315	542
3.365	540
3.415	539
3.465	539
3.515	539
3.567	540
3.617	541
3.667	543
3.717	545
3.767	547
3.817	548
3.868	548
3.918	549
3.968	549
4.018	547
4.068	547
4.118	546
4.169	545
4.219	545
4.269	544
4.319	544
4.369	544
4.420	542
4.471	543
4.521	543
4.571	541
4.621	540
4.671	538
4.722	538
4.772	537
4.822	539
4.872	540
4.922	540
4.972	542
5.023	545
5.073	546
5.123	547
5.173	548
5.223	548
5.274	548
5.324	547
5.375	547
5.425	546
5.475	545
5.525	546
5.576	546
5.626	545
5.676	545
5.726	544
5.776	543
5.827	542
5.877	541
5.927	540
5.977	540
6.027	537
6.077	537
6.128	538
6.178	538
6.228	540
6.279	542
6.329	544
6.379	544
6.430	546
6.480	547
6.530	547
6.580	547
6.630	546
6.681	546
6.731	546
6.781	545
6.831	546
6.881	547
6.931	546
6.982	546
7.032	546
7.082	545
7.132	545
7.183	541
7.233	541
7.284	540
7.334	539
7.384	537
7.434	539
7.484	539
7.535	541
7.585	541
7.635	545
7.685	545
7.735	546
7.785	545
7.836	547
7.886	546
7.936	545
7.986	544
8.036	545
8.087	546
8.138	544
8.188	545
8.238	546
8.288	546
8.338	545
8.389	544
8.439	544
8.489	543
8.539	542
8.589	540
8.639	539
8.690	539
8.740	539
8.790	539
8.840	542
8.890	542
8.940	544
8.992	545
9.042	546
9.092	547
9.142	546
9.192	545
9.243	544
9.293	545
9.343	543
9.393	545
9.443	544
9.493	545
9.544	545
9.594	546
9.644	545
9.694	545
9.744	544
9.795	543
9.845	542
9.896	540
9.946	540
9.996	540
10.046	540
10.097	541
10.147	542
10.197	544
10.247	545
10.297	545
10.347	547
10.398	546
10.448	547
10.498	546
10.548	545
10.598	544
10.649	544
10.699	544
10.750	545
10.800	545
10.850	546
10.900	547
10.951	545
11.001	543
11.051	543
11.101	540
11.151	540
11.201	538
11.252	537
11.302	537
11.352	538
11.402	538
11.452	541
11.503	545
11.553	547
11.603	547
11.654	547
11.704	546
11.754	547
11.805	547
11.855	546
11.905	545
11.955	546
12.005	546
12.055	546
12.106	546
12.156	545
12.206	546
12.256	544
12.306	543
12.357	542
12.407	539
12.457	537
12.507	537
12.558	538
12.608	538
12.659	537
12.709	539
12.759	542
12.809	543
12.859	544
12.910	545
12.960	546
13.010	547
13.060	546
13.110	547
13.160	546
13.211	546
13.261	545
13.311	546
13.361	546
13.411	546
13.462	546
13.513	545
13.563	546
13.613	544
13.663	543
13.713	542
13.764	541
13.814	539
13.864	537
13.914	538
13.964	539
14.014	539
14.065	541
14.115	542
14.165	543
14.215	545
14.265	544
14.315	545
14.367	545
14.417	545
14.467	546
14.517	544
14.567	545
14.618	545
14.668	545
14.718	545
14.768	547
14.818	546
14.868	545
14.919	546
14.969	543
15.019	543
15.069	541
15.119	539
15.169	538
15.220	539
15.271	539
15.321	541
15.371	542
15.421	544
15.472	544
15.522	544
15.572	546
15.622	545
15.672	544
15.722	544
15.773	544
15.823	543
15.873	544
15.923	543
15.973	545
16.023	545
16.074	545
16.124	546
16.175	545
16.225	544
16.275	543
16.326	542
16.376	541
16.426	540
16.476	540
16.526	539
16.576	540
16.627	542
16.677	543
16.727	545
16.777	545
16.827	546
16.878	545
16.928	546
16.978	544
17.028	545
17.079	542
17.129	543
17.180	543
17.230	543
17.280	545
17.330	544
17.380	544
17.430	545
17.481	544
17.531	544
17.581	543
17.631	542
17.681	540
17.732	539
17.782	538
17.832	540
17.882	541
17.932	541
17.983	543
18.034	544
18.084	545
18.134	545
18.184	545
18.234	546
18.284	546
18.335	544
18.385	544
18.435	543
18.485	544
18.535	544
18.586	544
18.636	545
18.686	545
18.736	545
18.786	544
18.836	544
18.888	543
18.938	541
18.988	540
19.038	539
19.088	539
19.139	538
19.189	539
19.239	540
19.289	542
19.339	543
19.389	544
19.440	545
19.490	544
19.540	545
19.590	545
19.640	544
19.690	544
19.741	544
19.792	543
19.842	545
19.892	545
19.942	545
19.993	546
20.043	546
20.093	545
20.143	544
20.193	543
20.243	542
20.294	541
20.344	539
20.394	539
20.444	539
20.494	538
20.544	540
20.595	542
20.645	543
20.696	544
20.746	545
20.796	544
20.847	544
20.897	544
20.947	542
20.997	543
21.047	543
21.097	543
21.148	544
21.198	545
21.248	542
21.298	546
21.348	544
21.398	546
21.449	545
21.499	543
21.550	543
21.600	541
21.650	540
21.701	539
21.751	540
21.801	539
21.851	542
21.901	541
21.951	543
22.002	544
22.052	544
22.102	544
22.152	542
22.202	543
22.252	544
22.303	542
22.353	542
22.403	542
22.454	542
22.504	543
22.555	541
22.605	545
22.655	546
22.705	545
22.755	545
22.805	544
22.856	543
22.906	542
22.956	540
23.006	540
23.056	540
23.107	541
23.157	542
23.207	542
23.257	544
23.307	545
23.358	545
23.409	545
23.459	545
23.509	543
23.559	543
23.609	542
23.659	541
23.710	542
23.760	542
23.810	543
23.860	544
23.910	544
23.961	545
24.011	543
24.061	544
24.111	542
24.161	542
24.211	539
24.263	540
24.313	539
