#Creator: pendulumdriveEventBuffer
#Creation time: Wed Apr 20 15:41:28 2016
#Time	Pos
#[s]	[au]
0.050	536
0.101	535
0.151	536
0.201	534
0.251	534
0.301	534
0.351	532
0.402	532
0.452	531
0.502	530
0.552	529
0.602	529
0.653	529
0.703	527
0.753	528
0.803	528
0.854	528
0.904	529
0.955	530
1.005	528
1.055	529
1.105	530
1.155	532
1.205	532
1.256	540
1.306	538
1.356	539
1.406	542
1.456	544
1.507	546
1.557	547
1.607	549
1.657	548
1.708	552
1.758	552
1.809	551
1.859	552
1.909	551
1.959	550
2.009	548
2.059	544
2.110	544
2.160	541
2.210	539
2.260	536
2.310	533
2.361	531
2.411	529
2.461	528
2.511	526
2.561	525
2.612	526
2.663	524
2.713	524
2.763	525
2.813	526
2.863	526
2.914	528
2.964	531
3.014	532
3.064	533
3.114	537
3.164	538
3.215	539
3.265	540
3.315	541
3.365	543
3.415	542
3.465	545
3.517	544
3.567	544
3.617	544
3.667	543
3.717	543
3.768	542
3.818	541
3.868	540
3.918	540
3.968	539
4.018	540
4.069	538
4.119	539
4.169	539
4.219	539
4.269	540
4.319	539
4.370	541
4.421	539
4.471	540
4.521	540
4.571	541
4.622	541
4.672	541
4.722	539
4.772	539
4.822	539
4.872	538
4.923	536
4.973	535
5.023	534
5.073	532
5.123	530
5.173	531
5.224	530
5.274	530
5.325	528
5.375	529
5.425	529
5.476	530
5.526	530
5.576	532
5.626	533
5.676	534
5.726	536
5.777	537
5.827	539
5.877	542
5.927	542
5.977	546
6.027	546
6.078	546
6.128	548
6.178	549
6.229	549
6.279	549
6.330	548
6.380	550
6.430	547
6.480	546
6.530	545
6.580	543
6.631	542
6.681	540
6.731	538
6.781	536
6.831	536
6.882	534
6.932	534
6.982	533
7.032	532
7.082	530
7.133	529
7.184	529
7.234	529
7.284	529
7.334	529
7.384	528
7.434	529
7.485	529
7.535	529
7.585	531
7.635	531
7.685	533
7.736	534
7.786	535
7.836	537
7.886	539
7.936	537
7.986	542
8.038	544
8.088	546
8.138	546
8.188	549
8.238	550
8.288	549
8.339	547
8.389	551
8.439	550
8.489	548
8.539	548
8.590	547
8.640	545
8.690	544
8.740	539
8.790	539
8.840	537
8.891	535
8.942	533
8.992	530
9.042	529
9.092	527
9.142	526
9.193	526
9.243	526
9.293	527
9.343	526
9.393	528
9.444	529
