#Creator: pendulumdriveEventBuffer
#Creation time: Wed Apr 20 15:41:28 2016
#Time	Pos
#[s]	[au]
0.049	571
0.100	599
0.150	621
0.201	642
0.251	656
0.301	665
0.351	667
0.401	664
0.451	655
0.502	640
0.552	621
0.602	597
0.652	569
0.702	541
0.753	512
0.803	486
0.853	464
0.903	447
0.953	435
1.004	431
1.055	433
1.105	442
1.155	457
1.205	477
1.255	503
1.305	529
1.356	558
1.406	586
1.456	611
1.506	632
1.556	648
1.607	660
1.657	665
1.707	664
1.757	658
1.807	646
1.857	629
1.909	607
1.959	581
2.009	554
2.059	526
2.109	498
2.159	474
2.210	455
2.260	441
2.310	434
2.360	434
2.410	439
2.461	451
2.511	470
2.561	492
2.611	518
2.661	546
2.711	574
2.762	599
2.813	621
2.863	640
2.913	653
2.963	661
3.013	662
3.064	659
3.114	650
3.164	634
3.214	615
3.264	591
3.315	565
3.365	538
3.415	511
3.465	486
3.515	466
3.565	449
3.616	439
3.666	436
3.717	439
3.767	448
3.817	464
3.868	484
3.918	508
3.968	534
4.018	562
4.068	588
4.118	611
4.169	631
4.219	646
4.269	655
4.319	660
4.369	659
4.419	652
4.470	639
4.520	622
4.570	599
4.621	575
4.671	549
4.722	522
4.772	496
4.822	474
4.872	456
4.922	444
4.972	439
5.023	439
5.073	446
5.123	459
5.173	476
5.223	499
5.273	524
5.324	551
5.374	577
5.424	601
5.474	622
5.525	639
5.576	651
5.626	657
5.676	658
5.726	653
5.776	643
5.826	628
5.877	608
5.927	584
5.977	559
6.027	533
6.077	506
6.127	483
6.178	464
6.228	449
6.278	441
6.328	439
6.378	444
6.430	453
6.480	469
6.530	490
6.580	515
6.630	540
6.680	566
6.731	592
6.781	613
6.831	632
6.881	646
6.931	654
6.981	656
7.032	654
7.082	647
7.132	634
7.182	616
7.232	594
7.283	569
7.334	543
7.384	517
7.434	494
7.484	473
7.534	456
7.585	445
7.635	441
7.685	441
7.735	450
7.785	463
7.836	482
7.886	504
7.936	529
7.986	555
8.036	580
8.086	604
8.137	623
8.188	639
8.238	650
8.288	655
8.338	655
8.388	649
8.439	639
8.489	623
8.539	603
8.589	580
8.639	554
8.690	529
8.740	504
8.790	481
8.840	464
8.890	450
8.940	443
8.991	441
9.041	446
9.092	457
9.142	474
9.192	494
9.242	518
9.293	543
9.343	569
9.393	593
9.443	614
9.493	632
9.544	645
9.594	651
9.644	654
9.694	651
9.744	642
9.794	628
9.845	610
9.895	589
9.945	565
9.996	539
10.046	515
10.097	492
10.147	472
10.197	457
10.247	448
10.297	444
10.347	446
10.398	454
10.448	468
10.498	487
10.548	510
10.598	533
10.648	558
10.699	582
10.749	604
10.799	623
10.849	637
10.900	647
10.951	650
11.001	650
11.051	644
11.101	633
11.151	617
11.201	597
11.252	574
11.302	550
11.352	525
11.402	502
11.452	481
11.502	464
11.553	452
11.603	447
11.653	447
11.703	452
11.753	464
11.805	480
11.855	501
11.905	524
11.955	548
12.005	573
12.055	595
12.106	614
12.156	630
12.206	641
12.256	648
12.306	649
12.356	645
12.407	636
12.457	622
12.507	604
12.557	583
12.607	560
12.658	536
12.709	511
12.759	489
12.809	472
12.859	459
12.909	450
12.960	447
13.010	451
13.060	460
13.110	474
13.160	492
13.210	515
13.261	538
13.311	563
13.361	586
13.411	606
13.461	623
13.512	636
13.562	644
13.613	648
13.663	646
13.713	639
13.763	626
13.814	611
13.864	592
13.914	569
13.964	545
14.014	521
14.065	499
14.115	480
14.165	464
14.215	454
14.265	449
14.315	450
14.366	457
14.416	468
14.466	486
14.517	505
14.567	529
14.617	553
14.668	576
14.718	597
14.768	616
14.818	629
14.868	641
14.919	645
14.969	646
15.019	640
15.069	631
15.119	617
15.169	599
15.220	578
15.270	555
15.320	531
15.370	509
15.421	488
15.471	470
15.522	459
15.572	452
15.622	451
15.672	455
15.722	464
15.773	479
15.823	497
15.873	519
15.923	542
15.973	566
16.023	588
16.074	607
16.124	624
16.174	635
16.224	642
16.274	644
16.325	643
16.376	635
16.426	622
16.476	606
16.526	586
16.576	565
16.627	542
16.677	518
16.727	497
16.777	479
16.827	465
16.877	456
16.928	452
16.978	453
17.028	460
17.078	473
17.128	490
17.178	510
17.230	531
17.280	555
17.330	578
17.380	598
17.430	616
17.481	629
17.531	638
17.581	642
17.631	642
17.681	637
17.731	627
17.782	612
17.832	594
17.882	574
17.932	551
17.982	529
18.033	507
18.083	487
18.134	472
18.184	460
18.234	455
18.284	454
18.335	459
18.385	469
18.435	484
18.485	504
18.535	523
18.585	546
18.636	568
18.686	589
18.736	607
18.786	622
18.836	633
18.887	639
18.937	641
18.988	638
19.038	629
19.088	617
19.138	600
19.189	581
19.239	560
19.289	537
19.339	516
19.389	496
19.439	478
19.490	466
19.540	458
19.590	455
19.640	458
19.690	466
19.741	478
19.791	496
19.841	515
19.892	537
19.942	560
19.992	581
20.043	599
20.093	615
20.143	627
20.193	636
20.243	639
20.293	637
20.344	632
20.394	621
20.444	607
20.494	588
20.544	568
20.595	546
20.645	525
20.695	503
20.745	486
20.796	471
20.846	462
20.897	457
20.947	458
20.997	463
21.047	474
21.097	489
21.148	508
21.198	528
21.248	550
21.298	572
21.348	592
21.398	609
21.449	622
21.499	631
21.549	637
21.599	638
21.649	633
21.700	624
21.751	611
21.801	595
21.851	576
21.901	556
21.951	534
22.002	512
22.052	494
22.102	478
22.152	466
22.202	460
22.252	458
22.303	462
22.353	469
22.403	484
22.453	500
22.503	520
22.553	542
22.605	562
22.655	584
22.705	601
22.755	616
22.805	627
22.856	634
22.906	636
22.956	634
23.006	627
23.056	617
23.106	602
23.157	583
23.207	564
23.257	542
23.307	522
23.357	502
23.407	485
23.458	472
23.509	463
23.559	459
23.609	461
23.659	467
23.710	479
23.760	494
23.810	512
23.860	533
23.910	554
23.960	574
24.011	593
24.061	609
24.111	622
24.161	630
24.211	634
24.261	634
24.312	630
24.362	620
24.413	607
24.463	591
24.513	572
24.564	551
24.614	530
24.664	511
24.714	493
24.764	478
24.814	468
24.865	462
24.915	461
24.965	465
25.015	475
25.065	488
25.116	505
25.166	525
25.216	545
25.266	565
25.317	585
25.367	601
25.418	615
25.468	625
25.518	631
25.568	633
25.618	630
25.668	622
25.719	612
25.769	597
25.819	579
25.869	560
25.919	539
25.970	518
26.020	500
26.070	484
26.120	473
26.170	465
26.221	463
26.272	464
26.322	471
26.372	483
26.422	498
26.472	517
26.522	536
26.573	556
26.623	576
26.673	594
26.723	608
26.773	620
26.824	628
26.874	630
26.924	630
26.974	624
27.024	615
27.074	601
27.126	585
27.176	567
27.226	548
27.276	527
27.326	508
27.377	491
27.427	478
27.477	469
27.527	464
27.577	465
27.627	469
27.678	479
27.728	493
27.778	510
27.828	529
27.878	548
27.928	568
27.979	587
28.030	602
28.080	615
28.130	624
28.180	629
28.231	629
28.281	626
28.331	618
28.381	606
28.431	591
28.481	573
28.532	555
28.582	536
28.632	515
28.682	498
28.732	483
28.782	473
28.833	466
28.883	465
28.934	467
28.984	475
29.034	487
29.085	503
29.135	521
29.185	540
29.235	560
29.285	579
29.335	595
29.386	609
29.436	619
29.486	625
29.536	628
29.586	627
29.636	620
29.687	610
29.737	597
29.788	580
29.838	562
29.888	543
29.939	523
29.989	505
30.039	490
30.089	477
30.139	470
30.189	466
30.240	467
30.290	473
30.340	483
30.390	497
30.440	514
30.490	532
30.541	552
30.591	571
30.641	588
30.692	601
30.742	615
30.793	622
30.843	626
30.893	626
30.943	622
30.993	614
31.043	602
31.094	586
31.144	569
31.194	551
31.244	532
31.294	513
31.345	497
31.395	483
31.445	474
31.495	468
31.545	468
31.596	471
31.647	480
31.697	491
31.747	507
31.797	525
31.847	543
31.897	562
31.948	580
31.998	595
32.048	609
32.098	619
32.148	623
32.199	625
32.249	623
32.299	616
32.349	606
32.399	591
32.449	576
32.501	558
32.551	540
32.601	521
32.651	502
32.701	490
32.751	478
32.802	471
32.852	469
32.902	471
32.952	477
33.002	487
33.053	501
33.103	517
33.153	537
33.203	555
33.253	573
33.303	589
33.354	603
33.405	614
33.455	620
33.505	624
33.555	623
33.605	618
33.656	609
33.706	597
33.756	582
33.806	566
33.856	547
33.907	528
33.957	511
34.007	495
34.057	483
34.107	475
34.157	471
34.208	471
34.258	475
34.309	484
34.359	496
34.409	511
34.460	529
34.510	547
34.560	565
34.610	582
34.660	597
34.710	608
34.761	616
34.811	622
34.861	623
34.911	619
34.961	612
35.011	601
35.062	588
35.112	572
35.162	554
35.213	537
35.263	518
35.314	502
35.364	489
35.414	478
35.464	472
35.514	471
35.564	473
35.615	481
35.665	491
35.715	505
35.765	522
35.815	540
35.865	557
35.916	575
35.966	591
36.016	602
36.066	613
36.117	619
36.168	621
36.218	620
36.268	614
36.318	605
36.368	593
36.418	578
36.469	561
36.519	542
36.569	525
36.619	509
36.669	494
36.719	483
36.770	476
36.820	472
36.870	473
36.920	478
36.970	487
37.022	500
37.072	515
37.122	533
37.172	550
37.222	567
37.272	583
37.323	597
37.373	608
37.423	615
37.473	619
37.523	620
37.573	616
37.624	608
37.674	598
37.724	583
37.774	567
37.824	550
37.875	533
37.926	516
37.976	501
38.026	488
38.076	479
38.126	475
38.177	473
38.227	476
38.277	484
38.327	495
38.377	509
38.428	525
38.478	543
38.528	560
38.578	576
38.628	591
38.678	603
38.729	612
38.780	617
38.830	619
38.880	617
38.930	610
38.980	602
39.031	588
39.081	574
39.131	558
39.181	541
39.231	523
39.282	507
39.332	494
39.382	483
39.432	476
39.482	474
39.532	475
39.583	481
39.633	490
39.684	503
39.734	519
39.784	536
39.834	553
39.885	568
39.935	584
39.985	598
40.035	607
40.085	615
40.136	618
40.186	617
40.236	613
40.286	605
40.336	593
40.386	580
40.437	564
40.487	547
40.537	530
40.588	514
40.638	499
40.689	487
40.739	479
40.789	475
40.839	475
40.889	479
40.939	487
40.990	499
41.040	513
41.090	529
41.140	546
41.190	562
41.240	578
41.291	592
41.341	603
41.391	612
41.441	616
41.492	616
41.543	613
41.593	607
41.643	597
41.693	584
41.743	569
41.793	554
41.844	537
41.894	520
41.944	506
41.994	493
42.044	484
42.094	479
42.145	476
42.195	479
42.245	485
42.295	494
42.345	508
42.397	523
42.447	540
42.497	556
42.547	571
42.597	586
42.647	598
42.698	607
42.748	612
42.798	615
42.848	614
42.898	609
42.948	600
42.999	589
43.049	575
43.099	560
43.149	543
43.199	528
43.250	512
43.301	498
43.351	488
43.401	481
43.451	477
43.501	478
43.552	483
43.602	491
43.652	502
43.702	517
43.752	533
43.802	549
43.853	565
43.903	579
43.953	592
44.003	602
44.053	610
44.104	614
44.154	614
44.205	611
44.255	604
44.305	594
44.355	581
44.406	566
44.456	550
44.506	534
44.556	519
44.606	505
44.657	492
44.707	483
44.757	479
44.807	478
44.857	481
44.907	488
44.958	498
45.008	511
45.058	525
45.109	542
45.159	557
45.209	573
45.260	587
45.310	598
45.360	606
45.410	612
45.460	613
45.511	611
45.561	606
45.611	596
45.661	586
45.711	572
45.761	556
45.812	541
45.862	524
45.912	510
45.962	497
46.013	487
46.063	482
46.114	479
46.164	480
46.214	485
46.264	494
46.314	506
46.365	520
46.415	536
46.465	552
46.515	567
46.565	580
46.615	593
46.666	602
46.716	609
46.766	611
46.816	611
46.866	607
46.917	600
46.968	589
47.018	576
47.068	562
47.118	546
47.168	531
47.219	516
47.269	504
47.319	491
47.369	485
47.419	481
47.469	480
47.520	484
47.570	492
47.620	502
47.670	515
47.720	529
47.770	545
47.822	561
47.872	575
47.922	588
47.972	599
48.022	605
48.073	610
48.123	611
48.173	608
48.223	602
48.273	593
48.323	581
48.374	568
48.424	553
48.474	538
48.524	523
48.574	508
48.625	496
48.675	488
48.726	482
48.776	481
48.826	483
48.876	489
48.927	498
48.977	510
49.027	524
49.077	539
49.127	554
49.177	569
49.228	583
49.278	593
49.328	602
49.378	608
49.428	611
49.479	609
49.529	604
49.580	596
49.630	586
49.680	573
49.730	559
49.781	544
49.831	528
49.881	514
49.931	501
49.981	492
50.031	485
50.082	482
50.132	483
50.182	486
50.232	494
50.282	505
50.333	518
50.383	532
50.433	548
50.484	563
50.534	576
50.584	589
50.635	598
50.685	605
50.735	608
50.785	609
50.835	606
50.885	599
50.936	589
50.986	578
51.036	564
51.086	550
51.136	535
51.187	520
51.237	507
51.287	496
51.337	488
51.388	484
51.438	483
51.489	486
51.539	492
