#Creator: pendulumdriveEventBuffer
#Creation time: Wed Apr 20 15:41:28 2016
#Time	Pos
#[s]	[au]
0.050	439
0.100	411
0.150	389
0.200	377
0.250	374
0.301	379
0.351	392
0.401	412
0.451	440
0.501	472
0.552	512
0.602	549
0.652	585
0.702	618
0.752	646
0.802	667
0.854	682
0.904	689
0.954	688
1.004	681
1.054	666
1.104	642
1.155	612
1.205	577
1.255	541
1.305	504
1.355	469
1.406	439
1.456	411
1.506	393
1.556	380
1.606	377
1.656	381
1.707	394
1.758	416
1.808	444
1.858	478
1.908	514
1.958	551
2.009	586
2.059	616
2.109	641
2.159	660
2.209	674
2.260	680
2.310	680
2.360	671
2.410	655
2.460	631
2.510	603
2.561	571
2.611	536
2.662	501
2.712	469
2.762	442
2.813	420
2.863	405
2.913	396
2.963	392
3.013	398
3.063	413
3.114	435
3.164	461
3.214	491
3.264	524
3.314	557
3.364	587
3.415	613
3.465	635
3.515	649
3.566	658
3.616	663
3.667	659
3.717	649
3.767	632
3.817	609
3.867	584
3.917	554
3.968	524
4.018	496
4.068	469
4.118	446
4.168	430
4.218	419
4.269	415
4.319	416
4.369	424
4.419	440
4.470	460
4.521	485
4.571	513
4.621	542
4.671	568
4.721	593
4.771	615
4.822	630
4.872	640
4.922	644
4.972	644
5.022	638
5.072	624
5.123	606
5.173	585
5.223	561
5.273	535
5.323	507
5.375	483
5.425	461
5.475	444
5.525	432
5.575	428
5.625	428
5.676	434
5.726	446
5.776	464
5.826	486
5.876	509
5.926	535
5.977	561
6.027	584
6.077	605
6.127	621
6.177	632
6.228	637
6.279	638
6.329	633
6.379	622
6.429	606
6.479	586
6.530	564
6.580	539
6.630	514
6.680	490
6.730	470
6.781	452
6.831	439
6.881	431
6.931	430
6.981	433
7.031	444
7.082	459
7.133	480
7.183	503
7.233	528
7.283	552
7.333	576
7.384	597
7.434	613
7.484	626
7.534	634
7.584	636
7.635	633
7.685	626
7.735	612
7.785	593
7.835	572
7.885	549
7.936	524
7.986	499
8.037	477
8.087	459
8.137	445
8.187	435
8.238	431
8.288	433
8.338	438
8.388	452
8.438	469
8.489	490
8.539	514
8.589	539
8.639	563
8.689	585
8.739	604
8.790	618
8.840	629
8.890	634
8.941	634
8.991	628
9.041	619
9.092	603
9.142	583
9.192	562
9.242	538
9.292	514
9.343	491
9.393	471
9.443	454
9.493	441
9.543	434
9.593	432
9.644	435
9.694	445
9.744	459
9.794	479
9.845	499
9.896	522
9.946	546
9.996	568
10.046	589
10.096	605
10.146	618
10.197	626
10.247	630
10.297	628
10.347	621
10.397	609
10.447	593
10.498	574
10.548	553
10.598	530
10.648	507
10.698	486
10.750	468
10.800	454
10.850	444
10.900	438
10.950	438
11.000	444
11.051	455
11.101	471
11.151	489
11.201	510
