#Creator: pendulumdriveEventBuffer
#Creation time: Wed Apr 20 15:41:28 2016
#Time	Pos
#[s]	[au]
0.050	523
0.101	519
0.151	514
0.201	512
0.251	505
0.301	501
0.352	497
0.402	493
0.452	490
0.502	489
0.553	489
0.603	489
0.654	491
0.704	494
0.754	499
0.804	504
0.854	512
0.905	518
0.955	523
1.005	531
1.055	533
1.105	540
1.155	541
1.206	539
1.256	541
1.306	536
1.356	530
1.406	525
1.457	515
1.508	509
1.558	500
1.608	492
1.658	485
1.708	479
1.759	475
1.809	473
1.859	473
1.909	476
1.959	481
2.009	486
2.060	495
2.110	506
2.160	514
2.210	526
2.260	532
2.310	543
2.362	550
2.412	550
2.462	557
2.512	553
2.562	550
2.613	545
2.663	534
2.713	527
2.763	515
2.813	502
2.863	492
2.914	487
2.964	471
3.014	466
3.064	461
3.114	460
3.164	461
3.215	467
3.266	475
3.316	485
3.366	496
3.416	509
3.467	520
3.517	535
3.567	546
3.617	553
3.667	562
3.717	560
3.768	565
3.818	565
3.868	553
3.918	548
3.968	537
4.018	522
4.069	509
4.119	495
4.170	482
4.220	471
4.270	461
4.321	455
4.371	452
4.421	452
4.471	457
4.521	467
4.571	473
4.622	487
4.672	500
4.722	516
4.772	530
4.822	542
4.873	555
4.923	560
4.973	571
5.023	572
5.074	567
5.124	566
5.175	556
5.225	543
5.275	532
5.325	516
5.375	501
5.425	487
5.476	473
5.526	462
5.576	454
5.626	449
5.676	448
5.727	452
5.777	456
5.827	468
5.877	479
5.928	495
5.978	510
6.029	523
6.079	539
6.129	548
6.179	563
6.229	570
6.279	568
6.330	573
6.380	567
6.430	559
6.480	550
6.530	534
6.581	522
6.631	507
6.681	491
6.731	478
6.781	467
6.832	457
6.883	451
6.933	451
6.983	449
7.033	456
7.083	465
7.134	478
7.184	489
7.234	504
7.284	520
7.334	530
7.384	545
7.435	557
7.485	561
7.535	569
7.585	568
7.635	565
7.685	560
7.737	549
7.787	539
7.837	526
7.887	511
7.937	499
7.988	485
8.038	473
8.088	464
8.138	458
8.188	455
8.238	457
8.289	461
8.339	467
8.389	477
