16.41 	 16.33 	 16.24 	 16.22 	 16.34 	 16.33 	 16.34   16.32   16.29   16.33
15.73 	 15.59 	 15.69 	 15.59 	 15.74 	 15.64 	 15.61   15.60   15.57   15.61 
15.66 	 15.48 	 15.49 	 15.60 	 15.61 	 15.65 	 15.63   15.59   15.60   15.58
16.76 	 16.72 	 16.91 	 16.83 	 16.88 	 16.83 	 16.78   16.69   16.80   16.69
22.60 	 22.90 	 22.08 	 22.78 	 22.67 	 22.68 	 22.71   22.83   22.77   22.83
37.89 	 37.87 	 38.07 	 38.17 	 38.19 	 38.17 	 38.02   38.15   38.12   37.92
18.53 	 18.58 	 18.57 	 18.53 	 18.40 	 18.51 	 18.42   18.53   18.53   18.56
15.90 	 16.01 	 15.97 	 15.95 	 15.97 	 15.96 	 15.91   15.99   15.90   16.00 
15.75 	 15.71 	 15.74 	 15.62 	 15.63 	 15.67 	 15.75   15.65   15.69   15.57
16.04 	 16.00 	 16.01 	 16.09 	 16.07 	 16.10 	 16.03   16.08   16.09   16.01
