#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 24 17:47:41 2016
#Time A	Pos A		Pos B
#[s]	[au]	u]
0.025	167	564
0.075	176	562
0.127	195	560
0.177	228	558
0.228	266	556
0.278	317	556
0.329	371	557
0.379	428	559
0.431	485	562
0.481	536	564
0.532	584	565
0.582	622	570
0.633	649	579
0.684	666	581
0.735	667	585
0.785	655	590
0.836	633	594
0.886	600	598
0.938	558	599
0.988	508	601
1.039	452	601
1.089	394	600
1.140	340	596
1.190	290	591
1.242	247	585
1.292	211	577
1.343	185	571
1.393	174	564
1.444	175	558
1.495	190	551
1.546	211	545
1.596	248	539
1.647	293	537
1.697	341	535
1.749	397	537
1.799	453	539
1.850	508	542
1.900	557	549
1.951	598	559
2.001	632	566
2.053	653	574
2.103	662	585
2.154	657	595
2.204	643	603
2.255	613	610
2.306	579	616
2.357	529	620
2.407	481	621
2.458	425	621
2.508	371	617
2.560	319	612
2.610	272	602
2.661	233	593
2.711	203	581
2.762	184	571
2.813	182	558
2.864	186	546
2.914	202	535
2.965	233	526
3.015	270	520
3.066	319	515
3.117	369	514
3.168	423	515
3.218	477	520
3.269	528	527
3.319	573	538
3.371	610	553
3.421	637	565
3.472	652	580
3.522	654	594
3.573	642	607
3.624	624	619
3.675	591	629
3.725	553	637
3.776	506	640
3.826	453	643
3.877	400	637
3.928	348	634
3.979	300	621
4.030	257	610
4.080	224	596
4.131	200	578
4.182	189	562
4.233	190	546
4.283	203	530
4.334	224	517
4.384	259	507
4.436	298	498
4.486	347	496
4.537	398	496
4.587	449	498
4.638	499	508
4.688	546	523
4.740	586	535
4.790	617	552
4.841	637	569
4.891	646	589
4.942	641	607
4.993	628	624
5.044	601	639
5.094	570	650
5.145	525	657
5.195	477	660
5.247	427	660
5.297	376	653
5.348	329	644
5.398	285	629
5.449	249	615
5.499	220	594
5.551	204	574
5.601	201	552
5.652	203	532
5.702	221	514
5.753	249	497
5.804	283	486
5.855	326	478
5.905	371	476
5.956	421	479
6.006	470	486
6.058	516	500
6.108	558	515
6.159	592	534
6.209	617	556
6.260	629	578
6.310	635	601
6.362	626	623
6.412	608	643
6.463	576	659
6.513	541	670
6.564	499	678
6.615	452	679
6.666	404	677
6.716	356	667
6.767	313	649
6.817	274	632
6.869	241	611
6.919	223	586
6.970	214	561
7.020	213	536
7.071	223	513
7.121	244	492
7.173	271	476
7.223	310	464
7.274	352	458
7.324	397	460
7.375	444	466
7.426	489	475
7.477	530	492
7.527	566	515
7.578	594	539
7.628	611	564
7.680	621	592
7.730	615	619
7.781	604	643
7.831	582	663
7.882	553	679
7.933	516	690
7.984	473	693
8.034	428	693
8.085	384	687
8.135	340	673
8.186	301	653
8.237	269	629
8.288	243	603
8.338	227	574
8.389	228	546
8.439	231	518
8.491	244	491
8.541	267	471
8.592	298	454
8.642	335	444
8.693	376	440
8.744	420	445
8.795	462	454
8.845	504	469
8.896	539	492
8.946	569	519
8.997	590	547
9.048	605	579
9.099	606	609
9.149	601	639
9.200	583	664
9.250	559	685
9.302	527	701
9.352	490	708
9.403	449	707
9.453	407	704
9.504	367	693
9.555	329	675
9.606	295	651
9.656	268	622
9.707	248	592
9.757	239	559
9.808	243	527
9.859	249	497
9.910	266	471
9.960	293	451
10.011	323		433
10.061	360		426
10.113	398		428
10.163	439		437
10.214	477		449
10.264	514		470
10.315	544		498
10.366	567		530
10.417	582		561
10.467	592		596
10.518	587		629
10.568	577		658
10.619	559		684
10.670	533		703
10.721	502		719
10.772	466		722
10.822	429		722
10.873	390		712
10.924	354		694
10.975	320		672
11.025	293		643
11.076	272		610
11.126	259		576
11.178	255		541
11.228	259		507
11.279	270		476
11.329	291		448
11.380	316		430
11.430	347		418
11.482	381		416
11.532	418		416
11.583	454		431
11.633	487		449
11.684	519		476
11.735	544		507
11.786	558		541
11.836	571		578
11.887	573		615
11.937	567		648
11.989	554		680
12.039	534		706
12.090	509		724
12.140	478		734
12.191	444		734
12.241	411		727
12.293	375		714
12.343	345		694
12.394	319		665
12.444	299		632
12.495	281		596
12.546	272		559
12.597	274		520
12.647	281		486
12.698	294		455
12.748	314		429
12.800	341		414
12.850	369		403
12.901	400		404
12.951	433		409
13.002	463		428
13.053	491		453
13.104	516		485
13.154	536		520
13.205	547		558
13.255	556		597
13.306	556		636
13.357	546		669
13.408	532		702
13.458	512		723
13.509	486		738
13.559	457		743
13.611	428		741
13.661	398		732
13.712	369		713
13.762	345		687
13.813	322		656
13.864	306		618
13.915	294		577
13.965	290		539
14.016	294		500
14.066	303		463
14.117	317		432
14.168	338		410
14.219	361		396
14.269	387		394
14.320	416		398
14.370	442		410
14.422	469		433
14.472	493		462
14.523	514		497
14.573	525		537
14.624	536		579
14.675	536		619
14.726	533		657
14.776	524		693
14.827	508		719
14.877	487		740
14.928	465		752
14.979	441		753
15.030	416		746
15.080	390		730
15.131	367		706
15.181	347		675
15.233	328		639
15.283	316		599
15.334	312		557
15.384	309		514
15.435	315		479
15.486	325		442
15.537	340		414
15.587	358		395
15.638	380		382
15.688	402		387
15.739	427		395
15.790	449		413
15.841	471		440
15.891	488		475
15.942	503		514
15.992	511		556
16.044	515		599
16.094	517		639
16.145	511		679
16.195	501		709
16.246	487		738
16.297	470		751
16.348	450		759
16.398	428		757
16.449	407		745
16.499	388		724
16.550	369		696
16.601	355		662
16.652	343		621
16.702	333		578
16.753	331		535
16.803	331		493
16.855	337		456
16.905	347		422
16.956	361		399
17.006	377		383
17.057	395		379
17.108	413		383
17.159	433		398
17.209	449		422
17.260	467		454
17.310	478		492
17.361	487		533
17.412	495		577
17.463	499		620
17.513	496		660
17.564	489		697
17.614	481		728
17.666	467		750
17.716	452		761
17.767	437		763
17.817	421		754
17.868	403		740
17.919	387		715
17.970	377		682
18.020	366		643
18.071	357		601
18.121	352		556
18.173	352		514
18.223	354		471
18.274	359		434
18.324	367		406
18.375	379		388
18.425	391		377
18.477	406		377
18.527	419		385
18.578	433		407
18.628	447		435
18.679	459		470
18.730	467		510
18.781	471		555
18.831	476		599
18.882	477		642
18.932	474		682
18.984	469		715
19.034	462		744
19.085	451		759
19.135	441		765
19.186	429		763
19.236	415		751
19.288	404		730
19.338	394		701
19.389	385		665
19.439	381		623
19.490	373		579
19.541	370		535
19.592	371		490
19.642	374		452
19.693	378		421
19.743	385		395
19.795	394		377
19.845	402		374
19.896	411		379
19.946	421		392
19.997	428		418
20.047	438		450
20.099	445		488
20.149	453		531
20.200	457		577
20.250	456		620
20.301	456		664
20.352	454		700
20.403	450		729
20.453	446		751
20.504	439		765
20.554	432		765
20.606	427		758
20.656	418		742
20.707	412		717
20.757	405		684
20.808	401		645
20.858	394		602
20.910	392		557
20.960	391		512
21.011	392		472
21.061	393		435
21.112	395		408
21.163	398		384
21.214	403		374
21.264	408		376
21.315	412		384
21.365	419		404
21.417	422		433
21.467	427		469
21.518	433		510
21.568	434		554
21.619	435		599
21.669	436		642
21.721	437		681
21.771	437		717
21.822	435		742
21.872	434		760
21.923	432		765
21.974	430		761
22.025	426		750
22.075	425		729
22.126	422		701
22.176	420		665
22.228	416		624
22.278	416		579
22.329	413		534
22.379	412		494
22.430	410		454
22.480	410		421
22.532	409		397
22.582	409		381
22.633	410		376
22.683	410		380
22.734	411		395
22.786	411		421
22.836	410		451
22.887	412		490
22.937	413		533
22.988	416		576
23.039	417		621
23.090	417		658
23.140	420		697
23.191	423		725
23.241	425		749
23.293	427		760
23.343	428		762
23.394	431		754
23.444	430		738
23.495	430		714
23.545	432		681
23.597	436		643
23.647	433		601
23.698	431		557
23.748	429		514
23.799	428		473
23.850	425		437
23.901	421		410
23.951	419		392
24.002	413		381
24.052	411		380
24.104	407		388
24.154	403		409
24.205	401		437
24.255	397		472
24.306	397		514
24.356	398		555
24.408	399		598
24.458	401		639
24.509	404		676
24.559	407		712
24.610	414		738
24.661	419		752
24.712	422		757
24.762	431		755
24.813	433		743
24.863	442		724
24.915	441		696
24.965	447		660
25.016	450		621
25.066	450		578
25.117	449		538
25.167	445		498
25.219	441		461
25.269	436		427
25.320	430		404
25.370	421		391
25.421	414		385
25.472	406		390
25.523	399		404
25.573	393		427
25.624	387		459
25.674	384		495
25.726	382		534
25.776	381		578
25.827	382		618
25.877	386		658
25.928	392		693
25.978	399		720
26.030	407		741
26.080	417		751
26.131	428		751
26.181	436		745
26.232	447		729
26.283	452		705
26.334	459		675
26.384	464		640
26.435	467		600
26.485	465		557
26.537	464		517
26.587	458		482
26.638	451		447
26.688	443		423
26.739	433		403
26.789	420		393
26.841	410		394
26.891	401		402
26.942	389		422
26.992	378		446
27.043	371		479
27.094	365		518
27.145	366		558
27.195	365		596
27.246	369		638
27.296	374		671
27.348	383		701
27.398	394		724
27.449	406		739
27.499	418		745
27.550	434		742
27.600	446		732
27.652	459		713
27.702	469		687
27.753	474		655
27.803	480		618
27.854	482		578
27.905	481		537
27.956	477		503
28.006	470		465
28.057	458		439
28.107	447		417
28.159	433		406
28.209	419		401
28.260	402		404
28.310	386		419
28.361	374		441
28.411	362		468
28.463	355		503
28.513	350		538
28.564	349		578
28.614	351		616
28.665	357		649
28.716	366		681
28.767	378		710
28.817	393		726
28.868	409		734
28.918	425		736
28.970	444		728
29.020	458		715
29.071	473		694
29.121	483		665
29.172	493		632
29.222	498		599
29.274	498		561
29.324	494		525
29.375	487		490
