#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 24 17:34:53 2016
#Time A	Pos A		Pos B
#[s]	[au]	u]
0.026	634	397
0.076	627	407
0.127	610	428
0.177	581	457
0.229	543	491
0.279	497	532
0.330	448	575
0.380	397	620
0.431	349	662
0.482	302	701
0.533	263	733
0.583	228	757
0.634	206	770
0.684	194	774
0.735	197	769
0.786	208	759
0.837	230	732
0.887	262	703
0.938	301	667
0.988	347	625
1.040	399	582
1.090	450	539
1.141	500	499
1.191	541	462
1.242	578	431
1.293	608	410
1.344	627	400
1.394	632	401
1.445	627	408
1.495	610	432
1.546	583	457
1.597	548	492
1.648	504	531
1.698	455	573
1.749	406	617
1.799	360	658
1.851	311	696
1.901	270	729
1.952	234	754
2.002	211	768
2.053	198	773
2.104	198	767
2.155	209	758
2.205	226	734
2.256	258	699
2.306	296	665
2.357	342	624
2.408	389	582
2.459	441	540
2.509	489	499
2.560	531	463
2.610	570	434
2.662	601	414
2.712	623	401
2.763	630	401
2.813	627	408
2.864	613	431
2.915	587	458
2.966	553	492
3.016	511	531
3.067	464	574
3.117	412	617
3.168	365	657
3.219	318	695
3.270	275	727
3.320	241	751
3.371	218	766
3.421	202	770
3.473	200	763
3.523	209	754
3.574	226	728
3.624	256	699
3.675	292	668
3.726	335	625
3.777	384	582
3.827	434	540
3.878	485	500
3.928	527	465
3.980	565	437
4.030	598	416
4.081	617	406
4.131	628	403
4.182	624	414
4.232	612	436
4.284	589	458
4.334	557	491
4.385	514	530
4.435	469	572
4.486	420	615
4.537	371	656
4.588	324	693
4.638	282	726
4.689	248	748
4.739	225	763
4.791	205	768
4.841	204	763
4.892	211	750
4.942	225	728
4.993	255	700
5.043	288	666
5.095	330	627
5.145	377	585
5.196	427	542
5.246	474	503
5.297	519	467
5.348	560	439
5.399	591	417
5.449	612	407
5.500	625	407
5.550	622	416
5.602	612	434
5.652	590	459
5.703	557	494
5.753	520	535
5.804	474	573
5.854	427	616
5.906	379	656
5.956	332	691
6.007	292	723
6.057	255	748
6.108	227	762
6.159	208	767
6.210	205	762
6.260	212	751
6.311	225	727
6.361	251	700
6.413	285	668
6.463	326	627
6.514	372	585
6.564	419	542
6.615	467	502
6.665	513	467
6.717	548	439
6.767	583	418
6.818	606	408
6.868	621	407
6.919	620	415
6.970	609	434
7.021	591	460
7.071	561	490
7.122	522	529
7.172	480	570
7.224	433	614
7.274	384	652
7.325	341	691
7.375	296	722
7.426	264	746
7.476	234	760
7.528	217	765
7.578	212	761
7.629	214	751
7.679	227	729
7.730	251	698
7.781	284	667
7.832	322	623
7.882	366	586
7.933	414	546
7.983	459	506
8.035	506	470
8.085	543	441
8.136	578	420
8.186	602	409
8.237	614	409
8.287	616	415
8.339	610	432
8.389	589	457
8.440	558	493
8.490	526	526
8.541	483	571
8.592	437	609
8.643	393	651
8.693	346	689
8.744	305	719
8.794	269	745
8.846	240	759
8.896	220	766
8.947	216	762
8.997	214	751
9.048	230	730
9.098	250	700
9.150	282	670
9.200	318	631
9.251	362	585
9.301	405	545
9.352	453	508
9.403	497	470
9.454	536	440
9.504	570	420
9.555	595	411
9.605	606	408
9.657	612	416
9.707	606	432
9.758	585	458
9.808	560	489
9.859	527	527
9.909	487	565
9.961	443	611
10.011	397		648
10.062	352		687
10.112	312		716
10.163	277		744
10.215	246		759
10.265	226		765
10.316	220		763
10.366	221		751
10.417	231		732
10.468	252		703
10.519	279		667
10.569	316		628
10.620	358		588
10.670	403		547
10.722	447		506
10.772	491		477
10.823	528		442
10.873	562		424
10.924	588		409
10.974	604		408
11.026	607		414
11.076	604		432
11.127	586		458
11.177	559		489
11.228	529		526
11.279	488		566
11.330	446		605
11.380	402		647
11.431	358		688
11.481	319		715
11.533	284		744
11.583	253		758
11.634	233		766
11.684	224		763
11.735	224		752
11.785	234		731
11.837	254		706
11.887	282		672
11.938	314		632
11.988	355		590
12.039	400		549
12.090	442		514
12.141	485		477
12.191	524		446
12.242	556		424
12.292	582		410
12.344	597		408
12.394	604		413
12.445	598		430
12.495	586		454
12.546	561		486
12.596	525		524
12.648	493		563
12.698	449		605
12.749	406		647
12.799	365		685
12.850	324		719
12.901	290		743
12.952	260		762
13.002	240		766
13.053	228		761
13.103	228		753
13.155	236		734
13.205	254		707
13.256	285		674
13.306	316		635
13.357	355		594
13.407	395		552
13.459	439		512
13.509	480		474
13.560	517		448
13.610	551		422
13.661	576		412
13.712	593		406
13.763	597		413
13.813	595		428
13.864	582		453
13.914	557		483
13.966	529		520
14.016	495		560
14.067	452		602
14.117	411		641
14.168	369		679
14.218	330		713
14.270	294		737
14.320	267		757
14.371	245		767
14.421	235		764
14.472	234		755
14.523	240		737
14.574	255		709
14.624	283		676
14.675	315		639
14.725	353		598
14.777	390		557
14.827	435		514
14.878	474		478
14.928	512		452
14.979	546		424
15.029	571		410
15.081	586		408
15.131	593		414
15.182	590		426
15.232	577		451
15.283	557		481
15.334	526		517
15.385	496		558
15.435	460		600
15.486	416		639
15.536	372		678
15.588	335		712
15.638	301		737
15.689	272		756
15.739	251		767
15.790	240		765
15.840	238		754
15.892	245		739
15.942	261		711
15.993	284		679
16.043	315		642
16.094	353		601
16.145	392		560
16.196	431		519
16.246	470		482
16.297	508		450
16.347	540		426
16.399	565		412
16.449	582		408
16.500	587		410
16.550	585		425
16.601	575		449
16.652	556		476
16.703	527		513
16.753	492		554
16.804	455		595
16.854	419		636
16.905	376		675
16.956	338		708
17.007	305		735
17.057	277		755
17.108	257		763
17.158	246		763
17.210	243		757
17.260	249		741
17.311	264		713
17.361	286		682
17.412	315		646
17.463	350		605
17.514	388		564
17.564	428		524
17.615	464		487
17.665	505		453
17.716	534		430
17.767	561		413
17.818	577		406
17.869	584		408
17.919	583		422
17.970	572		448
18.021	553		475
18.072	526		508
18.122	494		550
18.173	459		592
18.223	420		633
18.275	382		670
18.325	342		705
18.376	306		733
18.426	283		755
18.477	261		763
18.527	251		766
18.579	248		759
18.629	252		743
18.680	266		716
18.730	289		690
18.781	317		649
18.832	352		609
18.883	387		568
18.933	427		528
18.984	463		490
19.034	503		458
19.086	529		432
19.136	558		415
19.187	571		410
19.237	580		409
19.288	578		424
19.338	570		445
19.390	552		467
19.440	525		505
19.491	493		546
19.541	457		587
19.592	419		628
19.643	382		667
19.694	349		701
19.744	312		730
19.795	284		749
19.845	267		762
19.897	255		763
19.947	252		760
19.998	257		741
20.048	269		724
20.099	290		690
20.149	319		656
20.201	352		613
20.251	387		572
20.302	426		533
20.352	461		496
20.403	500		460
20.454	527		436
20.505	552		418
20.555	566		409
20.606	575		410
20.656	575		420
20.708	567		439
20.758	548		470
20.809	523		502
20.859	493		541
20.910	458		580
20.960	422		622
21.012	384		661
21.062	346		696
21.113	318		727
21.163	290		748
21.214	267		760
21.265	260		764
21.316	255		759
21.366	259		743
21.417	273		724
21.467	293		697
21.519	321		659
21.569	353		624
21.620	387		579
21.670	425		538
21.721	462		500
21.772	494		466
21.823	527		440
21.873	548		421
21.924	564		411
21.974	570		412
22.025	572		419
22.076	563		441
22.127	546		468
22.177	522		500
22.228	491		541
22.278	457		574
22.330	421		615
22.380	384		656
22.431	352		692
22.481	319		722
22.532	292		744
22.583	272		759
22.634	266		763
22.684	259		758
22.735	262		746
22.785	276		724
22.836	297		697
22.887	322		660
22.938	353		623
22.988	389		581
23.039	424		543
23.089	460		505
23.141	493		471
23.191	522		444
23.242	545		424
23.292	566		414
23.343	571		414
23.394	566		419
23.445	560		439
23.495	544		464
23.546	521		496
23.596	491		533
23.647	458		569
23.698	422		613
23.749	387		654
23.799	352		686
23.850	322		717
23.900	296		741
23.952	278		756
24.002	267		760
24.053	261		757
24.103	266		746
24.154	280		726
24.205	297		701
24.256	324		664
24.306	355		628
24.357	388		587
24.407	424		553
24.458	460		510
24.509	493		474
24.560	521		447
24.611	545		428
24.661	560		417
24.712	568		415
24.763	568		420
24.814	557		438
24.864	541		462
24.915	518		491
24.965	490		528
25.017	456		565
25.067	421		604
25.118	386		644
25.168	352		685
25.219	323		711
25.269	296		736
25.321	277		752
25.371	271		758
25.422	263		756
25.472	268		747
25.523	280		728
25.574	299		700
25.625	326		670
25.675	355		632
25.726	389		597
25.776	424		556
25.828	459		513
25.878	492		480
25.929	520		455
25.979	542		432
26.030	557		420
26.080	563		417
