#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 24 17:34:53 2016
#Time A	Pos A		Pos B
#[s]	[au]		[au]
0.024	221		478
0.075	257		508
0.125	298		542
0.177	346		581
0.227	396		619
0.278	451		659
0.328	503	0.354	692
0.379	551	0.404	724
0.430	590	0.455	750
0.481	620	0.505	766
0.531	642	0.557	775
0.582	649	0.607	777
0.632	643	0.658	769
0.684	627	0.708	754
0.734	600	0.759	732
0.785	562	0.810	702
0.835	518	0.861	669
0.886	468	0.912	630
0.936	415	0.962	592
0.988	363	1.013	555
1.038	316	1.063	520
1.089	270	1.115	488
1.139	235	1.165	462
1.190	205	1.216	444
1.241	185	1.266	434
1.292	183	1.317	433
1.342	188	1.368	440
1.393	202	1.419	459
1.443	231	1.469	478
1.495	267	1.520	506
1.545	309	1.570	542
1.596	355	1.622	578
1.646	407	1.672	618
1.697	461	1.723	655
1.748	510	1.773	689
1.799	555	1.824	721
1.849	594	1.874	744
1.900	621	1.926	762
1.950	639	1.976	771
2.001	646	2.027	772
2.052	638	2.077	766
2.103	621	2.128	753
2.153	591	2.179	731
2.204	553	2.230	703
2.254	509	2.280	672
2.306	459	2.331	634
2.356	407	2.381	594
2.407	356	2.433	557
2.457	309	2.483	521
2.508	265	2.534	490
2.559	232	2.584	464
2.610	203	2.635	447
2.660	190	2.685	436
2.711	185	2.737	435
2.761	193	2.787	441
2.812	209	2.838	458
2.863	239	2.888	478
2.914	273	2.939	507
2.964	316	2.990	539
3.015	365	3.041	577
3.065	417	3.091	615
3.117	468	3.142	654
3.167	516	3.192	687
3.218	562	3.244	720
3.268	597	3.294	744
3.319	620	3.345	762
3.370	638	3.395	771
3.421	640	3.446	771
3.471	632	3.496	768
3.522	613	3.548	750
3.572	583	3.598	728
3.623	543	3.649	702
3.674	499	3.699	666
3.725	448	3.750	633
3.775	398	3.801	596
3.826	349	3.852	557
3.876	301	3.902	522
3.928	261	3.953	491
3.978	230	4.003	465
4.029	203	4.055	448
4.079	191	4.105	436
4.130	189	4.156	436
4.181	199	4.206	442
4.232	218	4.257	459
4.282	245	4.308	479
4.333	284	4.359	508
4.383	328	4.409	542
4.434	377	4.460	576
4.485	426	4.510	614
4.536	477	4.561	652
4.587	522	4.612	686
4.637	565	4.663	717
4.688	598	4.713	742
4.739	621	4.764	760
4.790	636	4.814	770
4.840	634	4.866	771
4.891	625	4.916	764
4.941	604	4.967	751
4.993	572	5.017	730
5.043	534	5.068	701
5.094	489	5.119	668
5.144	438	5.170	633
5.195	389	5.220	596
5.245	341	5.271	557
5.297	297	5.321	523
5.347	258	5.372	491
5.398	229	5.423	465
5.448	205	5.474	448
5.499	195	5.524	436
5.550	196	5.575	434
5.601	207	5.625	440
5.651	226	5.677	454
5.702	256	5.727	477
5.752	294	5.778	507
5.804	338	5.828	540
5.854	386	5.879	576
5.905	434	5.930	614
5.955	482	5.981	651
6.006	528	6.031	687
6.056	569	6.082	717
6.108	600	6.132	742
6.158	621	6.183	760
6.209	630	6.234	771
6.259	629	6.285	771
6.310	618	6.335	766
6.361	594	6.386	751
6.412	563	6.436	729
6.462	524	6.488	701
6.513	478	6.538	668
6.563	429	6.589	632
6.615	381	6.639	596
6.665	334	6.690	557
6.716	294	6.741	521
6.766	255	6.792	490
6.817	225	6.842	464
6.868	208	6.893	445
6.919	200	6.943	434
6.969	202	6.994	435
7.020	213	7.045	440
7.070	236	7.096	454
7.121	265	7.146	476
7.172	303	7.197	505
7.223	349	7.247	540
7.273	395	7.299	576
7.324	441	7.349	615
7.374	488	7.400	650
7.426	531	7.450	688
7.476	570	7.501	718
7.527	598	7.552	743
7.577	618	7.603	763
7.628	626	7.654	771
7.679	622	7.704	771
7.730	610	7.755	767
7.780	585	7.805	752
7.831	554	7.857	734
7.881	514	7.907	703
7.932	468	7.958	669
7.983	420	8.008	630
8.034	372	8.059	594
8.084	328	8.110	555
8.135	285	8.161	520
8.185	255	8.211	487
8.237	227	8.262	462
8.287	211	8.312	443
8.338	205	8.364	433
8.388	209	8.414	433
8.439	222	8.465	439
8.490	244	8.515	453
8.541	276	8.566	476
8.591	313	8.616	508
8.642	356	8.668	540
8.692	403	8.718	578
8.743	449	8.769	616
8.794	494	8.819	652
8.845	535	8.870	689
8.895	570	8.921	719
8.946	596	8.972	746
8.996	612	9.022	764
9.048	619	9.073	773
9.098	615	9.123	773
9.149	601	9.175	766
9.199	575	9.225	754
9.250	542	9.276	730
9.301	504	9.326	700
9.352	459	9.377	667
9.402	414	9.428	631
9.453	368	9.479	591
9.503	323	9.529	554
9.554	286	9.580	517
9.605	255	9.630	485
9.656	228	9.681	460
9.706	217	9.732	442
9.757	211	9.783	430
9.807	217	9.833	430
9.859	231	9.884	436
9.909	254	9.934	457
9.960	285	9.986	474
10.010	322	10.036	505
10.061	364	10.087	540
10.112	409	10.137	579
10.163	455	10.188	617
10.213	497	10.239	655
10.264	536	10.290	692
10.314	568	10.340	723
10.365	594	10.391	749
10.416	608	10.441	767
10.467	612	10.492	774
10.517	607	10.543	775
10.568	592	10.594	769
10.618	567	10.644	752
10.670	533	10.695	733
10.720	495	10.745	701
10.771	452	10.797	666
10.821	408	10.847	629
10.872	365	10.898	588
10.923	321	10.948	549
10.974	288	10.999	513
11.024	254	11.050	482
11.075	234	11.101	454
11.125	222	11.151	438
11.176	217	11.202	429
11.227	223	11.252	427
11.278	239	11.303	434
11.328	263	11.354	456
11.379	293	11.405	476
11.429	330	11.455	507
11.481	372	11.506	543
11.531	415	11.556	581
11.582	460	11.608	622
11.632	499	11.658	660
11.683	537	11.709	695
11.734	566	11.759	727
11.785	592	11.810	752
11.835	602	11.861	769
11.886	605	11.912	777
11.936	600	11.962	777
11.988	583	12.013	771
12.038	557	12.063	754
12.089	525	12.114	728
12.139	487	12.165	698
12.190	446	12.216	662
12.240	400	12.266	625
12.292	359	12.317	584
12.342	321	12.367	546
12.393	284	12.419	509
12.443	260	12.469	478
12.494	236	12.520	452
12.545	227	12.570	437
12.596	225	12.621	426
12.646	232	12.672	428
12.697	248	12.723	435
12.747	271	12.773	454
12.799	304	12.824	478
12.849	338	12.874	508
12.900	380	12.925	546
12.950	420	12.976	585
13.001	464	13.027	624
13.051	501	13.077	663
13.103	537	13.128	700
13.153	567	13.178	731
13.204	585	13.230	755
13.254	597	13.280	771
13.305	598	13.331	779
13.356	590	13.381	779
13.407	574	13.432	770
13.457	548	13.483	752
13.508	516	13.534	728
13.558	479	13.584	695
13.610	439	13.635	660
13.660	398	13.685	621
13.711	358	13.736	581
13.761	321	13.787	542
13.812	285	13.838	504
13.862	260	13.888	472
13.914	242	13.939	448
13.964	233	13.989	431
14.015	232	14.041	424
14.065	239	14.091	422
14.116	256	14.142	434
14.167	279	14.192	452
14.218	310	14.243	480
14.268	345	14.294	513
14.319	384	14.345	550
14.369	426	14.395	589
14.421	466	14.446	629
14.471	502	14.496	668
14.522	536	14.548	703
14.572	563	14.598	736
14.623	580	14.649	760
14.673	589	14.699	774
14.725	589	14.750	781
14.775	584	14.800	779
14.826	566	14.852	768
14.876	540	14.902	750
14.927	509	14.953	724
14.978	474	15.003	692
15.029	436	15.054	655
15.079	395	15.105	616
15.130	353	15.156	574
15.180	321	15.206	536
15.232	289	15.257	498
15.282	266	15.307	468
15.333	247	15.359	443
15.383	239	15.409	426
15.434	239	15.460	421
15.484	247	15.510	421
15.536	265	15.561	435
15.586	287	15.611	453
15.637	317	15.663	482
15.687	352	15.713	516
15.738	388	15.764	554
15.789	427	15.814	595
15.840	465	15.865	634
15.890	500	15.916	673
15.941	535	15.967	709
15.991	559	16.017	740
16.043	576	16.068	762
16.093	582	16.118	777
16.144	584	16.170	783
16.194	576	16.220	779
16.245	558	16.271	768
16.295	533	16.321	748
16.347	503	16.372	720
16.397	467	16.422	687
16.448	432	16.474	648
16.498	392	16.524	609
16.549	355	16.575	568
16.600	322	16.625	529
16.651	293	16.676	493
16.701	269	16.727	464
16.752	252	16.778	439
16.802	247	16.828	424
16.854	245	16.879	421
16.904	254	16.929	421
16.955	271	16.981	436
17.005	294	17.031	459
17.056	323	17.082	486
17.106	355	17.132	522
17.158	394	17.183	560
17.209	428	17.233	600
17.259	468	17.285	641
17.310	501	17.335	680
17.360	529	17.386	714
17.412	554	17.436	745
