000000.#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 24 16:26:48 2016
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	437	0.051	631
0.076	432	0.102	655
0.127	443	0.152	669
0.178	426	0.203	680
0.229	448	0.253	675
0.279	421	0.305	668
0.330	452	0.355	645
0.380	414	0.406	616
0.431	452	0.456	580
0.482	420	0.507	537
0.533	454	0.557	493
0.583	421	0.609	447
0.634	443	0.659	405
0.684	428	0.710	363
0.736	438	0.760	327
0.786	438	0.811	302
0.837	432	0.862	285
0.887	444	0.913	272
0.938	425	0.963	278
0.989	448	1.014	290
1.040	418	1.064	313
1.090	452	1.116	343
1.141	415	1.166	380
1.191	443	1.217	422
1.243	413	1.267	466
1.293	444	1.318	511
1.344	423	1.368	555
1.394	439	1.420	596
1.445	432	1.470	625
1.495	435	1.521	656
1.547	439	1.572	666
1.597	430	1.622	675
1.648	447	1.674	678
1.698	424	1.724	662
1.749	453	1.775	640
1.800	420	1.825	610
1.851	453	1.876	575
1.901	420	1.927	532
1.952	452	1.978	489
2.002	426	2.028	444
2.054	444	2.079	401
2.104	430	2.129	361
2.155	438	2.180	329
2.205	438	2.231	304
2.256	433	2.282	286
2.306	441	2.332	283
2.358	426	2.383	284
2.408	444	2.433	292
2.459	419	2.485	320
2.509	446	2.535	349
2.560	415	2.586	385
2.611	448	2.636	427
2.662	418	2.687	470
2.712	445	2.738	515
2.763	422	2.789	557
2.813	441	2.839	596
2.865	430	2.890	629
2.915	435	2.940	654
2.966	438	2.991	673
3.016	434	3.042	672
3.067	446	3.093	672
3.117	429	3.143	657
3.169	452	3.194	633
3.219	423	3.244	605
3.270	452	3.296	570
3.320	419	3.346	528
3.371	450	3.397	484
3.422	421	3.447	441
3.473	443	3.498	398
3.523	424	3.549	361
3.574	440	3.600	329
3.624	433	3.650	302
3.676	434	3.701	289
3.726	438	3.751	286
3.777	429	3.803	288
3.827	443	3.853	303
3.878	422	3.904	323
3.928	447	3.954	357
3.980	417	4.005	392
4.030	450	4.055	431
4.081	416	4.107	475
4.131	445	4.157	518
4.182	417	4.208	559
4.233	448	4.258	597
4.284	425	4.309	630
4.334	442	4.360	651
4.385	435	4.411	663
4.435	436	4.461	672
4.487	443	4.512	663
4.537	432	4.562	654
4.588	449	4.614	627
4.638	427	4.664	599
4.689	453	4.715	567
4.739	421	4.765	524
4.791	452	4.816	480
4.841	422	4.866	437
4.892	446	4.918	397
4.942	423	4.968	359
4.993	448	5.019	327
5.044	423	5.069	302
5.095	434	5.120	290
5.145	434	5.171	283
5.196	430	5.222	288
5.246	439	5.272	308
5.298	423	5.323	331
5.348	445	5.373	360
5.399	418	5.425	396
5.449	450	5.475	436
5.500	416	5.526	479
5.550	451	5.576	522
5.602	421	5.627	562
5.652	442	5.677	598
5.703	423	5.729	629
5.753	442	5.779	651
5.804	435	5.830	661
5.855	438	5.880	668
5.906	442	5.931	663
5.956	435	5.982	650
6.007	449	6.033	625
6.057	427	6.083	594
6.109	452	6.134	557
6.159	422	6.184	518
6.210	454	6.236	477
6.260	420	6.286	434
6.311	445	6.337	394
6.361	421	6.387	358
6.413	446	6.438	329
6.463	421	6.488	306
6.514	436	6.540	294
6.564	431	6.590	288
6.615	432	6.641	292
6.666	437	6.691	305
6.717	425	6.742	331
6.767	444	6.793	368
6.818	420	6.844	399
6.868	446	6.894	439
6.920	414	6.945	482
6.970	445	6.995	524
7.021	421	7.047	564
7.071	443	7.097	599
7.122	421	7.148	629
7.172	446	7.198	650
7.224	433	7.249	660
7.274	441	7.299	666
7.325	442	7.351	664
7.375	436	7.401	643
7.426	447	7.452	615
7.478	430	7.502	590
7.528	452	7.553	552
7.579	422	7.604	515
7.629	450	7.655	472
7.680	419	7.705	432
7.731	451	7.756	392
7.782	421	7.806	357
7.832	447	7.858	328
7.883	422	7.908	307
7.933	435	7.959	295
7.985	432	8.009	294
8.035	430	8.060	297
8.086	436	8.110	310
8.136	426	8.162	339
8.187	444	8.212	371
8.237	420	8.263	406
8.289	449	8.313	446
8.339	417	8.364	487
8.390	451	8.415	526
8.440	420	8.466	567
8.491	445	8.516	601
8.542	424	8.567	628
8.593	443	8.617	649
8.643	431	8.669	661
8.694	440	8.719	660
8.744	440	8.770	660
8.796	437	8.820	639
8.846	447	8.871	618
8.897	429	8.921	584
8.947	450	8.973	547
8.998	424	9.023	509
9.048	451	9.074	467
9.100	419	9.124	429
9.150	451	9.175	390
9.201	420	9.226	356
9.251	441	9.277	328
9.302	423	9.327	308
9.353	437	9.378	297
9.404	425	9.428	294
9.454	429	9.480	302
9.505	433	9.530	315
9.555	430	9.581	344
9.607	445	9.631	379
9.657	428	9.682	412
9.708	449	9.732	451
9.758	417	9.784	492
9.809	448	9.834	530
9.859	417	9.885	568
9.911	449	9.935	601
9.961	425	9.986	628
10.012	450	10.037	647
10.062	431	10.088	656
10.113	441	10.138	659
10.164	442	10.189	648
10.215	437	10.239	633
10.265	445	10.291	614
10.316	429	10.341	583
10.366	452	10.392	548
10.418	420	10.442	504
10.468	452	10.493	463
10.519	410	10.543	426
10.569	448	10.595	389
10.620	414	10.646	355
10.670	445	10.696	329
10.722	419	10.747	309
10.772	443	10.797	300
10.823	423	10.849	298
10.873	431	10.899	308
10.924	436	10.950	328
10.975	427	11.000	350
11.026	443	11.051	378
11.076	422	11.102	416
11.127	450	11.153	453
11.177	420	11.203	493
11.229	450	11.254	533
11.279	418	11.304	571
11.330	449	11.356	603
11.380	417	11.406	628
11.431	446	11.457	646
11.481	425	11.507	655
11.533	445	11.558	654
11.583	434	11.608	645
11.634	437	11.660	631
11.684	443	11.710	608
11.735	430	11.761	574
11.786	450	11.811	545
11.837	422	11.862	500
11.887	451	11.913	462
11.938	411	11.964	422
11.988	450	12.014	386
12.040	411	12.065	353
12.090	447	12.115	329
12.141	412	12.167	310
12.191	440	12.217	303
12.242	418	12.268	303
12.292	434	12.318	310
12.344	428	12.369	327
12.394	430	12.419	354
12.445	440	12.471	384
12.495	426	12.521	421
12.546	449	12.572	460
12.597	422	12.622	497
12.648	454	12.673	537
12.698	416	12.724	572
12.749	454	12.775	603
12.799	418	12.825	627
12.851	450	12.876	644
12.901	424	12.926	652
12.952	447	12.978	652
13.002	432	13.028	644
