#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 24 16:26:48 2016
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	449	0.051	477
0.076	489	0.102	479
0.127	523	0.152	479
0.177	553	0.203	481
0.229	580	0.253	479
0.279	589	0.304	478
0.330	589	0.355	479
0.380	587	0.406	478
0.431	576	0.456	482
0.482	561	0.507	485
0.533	541	0.557	478
0.583	517	0.609	476
0.634	485	0.659	479
0.684	453	0.710	479
0.736	412	0.760	479
0.786	382	0.811	479
0.837	346	0.862	479
0.887	316	0.913	479
0.938	292	0.963	479
0.988	279	1.014	480
1.040	273	1.064	477
1.090	274	1.115	478
1.141	281	1.166	475
1.191	294	1.217	481
1.242	316	1.267	484
1.293	340	1.318	481
1.344	371	1.368	479
1.394	405	1.420	480
1.445	440	1.470	479
1.495	479	1.521	480
1.547	512	1.571	479
1.597	542	1.622	479
1.648	558	1.673	480
1.698	573	1.724	483
1.749	579	1.774	478
1.799	579	1.825	476
1.851	574	1.875	477
1.901	561	1.926	478
1.952	542	1.977	478
2.002	519	2.028	482
2.053	488	2.078	479
2.104	453	2.129	479
2.155	418	2.179	479
2.205	382	2.231	478
2.256	351	2.281	480
2.306	321	2.332	480
2.358	302	2.382	476
2.408	289	2.433	481
2.459	282	2.484	484
2.509	282	2.535	477
2.560	290	2.586	485
2.611	302	2.636	481
2.662	320	2.687	479
2.712	344	2.737	479
2.763	377	2.789	478
2.813	407	2.839	479
2.864	442	2.890	478
2.915	471	2.940	479
2.966	501	2.991	479
3.016	529	3.042	478
3.067	549	3.093	477
3.117	562	3.143	476
3.169	570	3.194	478
3.219	570	3.244	484
3.270	564	3.296	477
3.320	553	3.346	481
3.371	533	3.397	481
3.422	510	3.447	480
3.473	481	3.498	481
3.523	448	3.548	480
3.574	421	3.600	479
3.624	385	3.650	480
3.675	361	3.701	479
3.726	334	3.751	479
3.777	314	3.802	478
3.827	300	3.853	477
3.878	292	3.904	481
3.928	293	3.954	476
3.980	299	4.005	483
4.030	310	4.055	478
4.081	330	4.107	479
4.131	352	4.157	480
4.182	373	4.208	479
4.233	405	4.258	480
4.284	437	4.309	479
4.334	468	4.359	479
4.385	494	4.411	479
4.435	520	4.461	475
4.486	540	4.512	481
4.537	555	4.562	479
4.588	561	4.613	477
4.638	562	4.664	477
4.689	557	4.715	481
4.739	546	4.765	479
4.791	530	4.816	480
4.841	508	4.866	479
4.892	480	4.918	479
4.942	457	4.968	479
4.993	422	5.019	479
5.044	393	5.069	480
5.095	367	5.120	481
5.145	340	5.171	480
5.196	323	5.222	479
5.246	307	5.272	476
5.297	303	5.323	472
5.348	299	5.373	481
5.399	304	5.424	478
5.450	316	5.475	478
5.500	334	5.526	480
5.551	354	5.576	479
5.602	376	5.627	479
5.653	408	5.677	479
5.703	438	5.729	480
5.754	463	5.779	481
5.804	491	5.830	479
5.856	515	5.880	476
5.906	533	5.931	477
5.957	548	5.982	478
6.007	555	6.033	482
6.058	557	6.083	481
6.108	553	6.134	481
6.160	546	6.184	480
6.210	527	6.235	480
6.261	509	6.286	480
6.311	481	6.337	480
6.362	448	6.387	479
6.413	424	6.438	478
6.464	395	6.488	480
6.514	368	6.540	484
6.565	346	6.590	478
6.615	329	6.641	474
6.667	315	6.691	482
6.717	307	6.742	479
6.768	305	6.793	479
6.818	309	6.844	479
6.869	320	6.894	479
6.919	337	6.945	479
6.971	357	6.995	478
7.021	380	7.046	479
7.072	406	7.097	479
7.122	437	7.148	481
7.173	463	7.198	476
7.224	489	7.249	479
7.275	511	7.299	477
7.325	529	7.351	483
7.376	544	7.401	476
7.426	550	7.452	481
7.478	553	7.502	479
7.528	547	7.553	480
7.579	541	7.604	480
7.629	522	7.655	480
7.680	501	7.705	480
7.731	476	7.756	480
7.782	450	7.806	480
7.832	424	7.857	482
7.883	397	7.908	480
7.933	372	7.959	480
7.984	351	8.009	481
8.035	334	8.060	473
8.086	320	8.110	478
8.136	313	8.162	476
8.187	311	8.212	479
8.237	317	8.263	479
8.289	326	8.313	479
8.339	342	8.364	479
8.390	358	8.415	478
8.440	383	8.466	480
8.491	410	8.517	482
8.542	436	8.567	480
8.593	462	8.618	479
8.643	486	8.668	479
8.694	508	8.720	484
8.744	526	8.770	481
8.795	539	8.821	481
8.846	544	8.871	481
8.897	545	8.922	479
8.947	543	8.973	479
8.998	538	9.024	480
9.048	517	9.074	480
9.100	495	9.125	480
9.150	477	9.175	482
9.201	451	9.227	481
9.251	426	9.277	477
9.302	399	9.328	479
9.353	376	9.378	479
9.404	354	9.429	476
9.454	338	9.479	479
9.505	325	9.531	479
9.555	319	9.581	479
9.606	316	9.632	478
9.657	322	9.682	479
9.708	329	9.733	478
9.758	350	9.784	479
9.809	362	9.835	479
9.859	385	9.885	478
9.911	410	9.936	479
9.961	435	9.986	481
10.012	461	10.038	477
10.062	485	10.088	479
10.113	506	10.139	483
10.164	522	10.189	479
10.215	537	10.240	480
10.265	541	10.291	481
10.316	542	10.342	481
10.366	539	10.392	480
10.417	532	10.443	479
10.468	517	10.493	481
10.519	498	10.544	479
10.569	477	10.595	481
10.620	452	10.646	480
10.670	427	10.696	477
10.722	401	10.747	477
10.772	378	10.797	485
10.823	357	10.849	478
10.873	343	10.899	481
10.924	330	10.950	479
10.975	322	11.000	478
11.026	321	11.051	479
11.076	330	11.102	479
11.127	332	11.153	479
11.177	347	11.203	478
11.228	366	11.254	480
11.279	389	11.304	477
11.330	412	11.355	479
11.380	436	11.406	478
11.431	461	11.457	481
11.481	483	11.507	478
11.533	504	11.558	483
11.583	520	11.608	480
11.634	531	11.660	480
11.684	540	11.710	481
11.735	540	11.761	481
11.786	538	11.811	480
11.837	525	11.862	481
11.887	515	11.913	482
11.938	493	11.964	482
11.988	474	12.014	479
12.039	451	12.065	482
12.090	427	12.115	473
12.141	402	12.166	482
12.191	380	12.217	475
12.242	361	12.268	480
12.292	347	12.318	479
12.344	331	12.369	478
12.394	325	12.419	478
12.445	328	12.471	478
12.495	335	12.521	479
12.546	339	12.572	478
12.597	353	12.622	478
12.648	370	12.673	477
12.698	390	12.724	480
12.749	413	12.775	475
12.799	437	12.825	478
12.851	460	12.876	481
12.901	482	12.926	481
12.952	501	12.977	483
13.002	517	13.028	481
13.053	533	13.079	480
13.103	534	13.129	480
13.155	541	13.180	480
13.205	532	13.230	480
13.256	527	13.282	479
13.306	510	13.332	480
13.357	492	13.383	479
13.408	473	13.433	476
13.459	449	13.484	477
13.509	427	13.535	478
13.560	404	13.586	478
13.610	382	13.636	476
13.662	365	13.687	479
13.712	346	13.737	479
13.763	340	13.788	479
13.813	328	13.839	479
13.864	332	13.890	479
13.914	337	13.940	477
13.966	341	13.991	480
14.016	357	14.041	479
14.067	372	14.093	483
14.117	392	14.143	477
14.168	414	14.194	482
14.219	437	14.244	478
14.270	460	14.295	479
14.320	479	14.346	478
14.371	498	14.397	479
14.421	515	14.447	481
14.473	528	14.498	479
14.523	530	14.548	479
14.574	532	14.599	480
14.624	530	14.650	480
14.675	519	14.701	479
14.725	507	14.751	477
14.777	491	14.802	480
14.827	472	14.852	481
14.878	450	14.904	482
14.928	428	14.954	484
14.979	406	15.005	480
15.030	383	15.055	478
15.081	367	15.106	479
15.131	348	15.157	479
15.182	343	15.208	478
15.232	338	15.258	479
15.284	332	15.309	478
15.334	339	15.359	478
15.385	346	15.411	475
15.435	358	15.461	479
15.486	375	15.512	481
15.536	394	15.562	477
15.588	417	15.613	473
15.638	438	15.663	481
15.689	460	15.715	482
15.739	479	15.765	479
15.790	495	15.816	479
15.841	511	15.866	481
15.892	526	15.917	480
15.942	529	15.968	478
15.993	529	16.019	480
16.043	525	16.069	479
16.095	517	16.120	479
16.145	505	16.170	477
16.196	488	16.222	477
16.246	470	16.272	479
16.297	448	16.323	481
16.347	427	16.373	477
16.399	406	16.424	478
16.449	384	16.474	478
16.500	367	16.526	479
16.550	357	16.576	479
16.601	345	16.627	479
16.652	336	16.677	479
16.703	336	16.728	480
16.753	339	16.779	479
16.804	350	16.830	477
16.854	362	16.880	480
16.906	377	16.931	485
16.956	395	16.981	479
17.007	416	17.033	483
17.057	438	17.083	477
17.108	461	17.134	479
17.158	477	17.184	479
17.210	498	17.235	479
17.260	512	17.285	480
17.311	523	17.337	481
17.361	523	17.387	481
17.412	526	17.438	481
17.464	523	17.488	479
17.514	515	17.539	480
17.565	502	17.590	480
17.615	487	17.641	483
17.666	468	17.691	473
17.717	447	17.742	481
17.768	426	17.792	477
17.818	407	17.844	478
17.869	384	17.894	479
17.919	371	17.945	479
17.971	360	17.995	478
18.021	349	18.046	479
18.072	341	18.096	479
18.122	339	18.148	477
18.173	344	18.198	481
18.223	352	18.249	477
18.275	364	18.299	476
18.325	379	18.350	485
18.376	397	18.401	481
18.426	417	18.452	478
18.477	437	18.502	480
