#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  2 16:41:55 2016
#Id	Edge	Time
#[]	[b]	[s]
0	0	0.488916
1	1	0.500948
2	0	1.582708
3	1	1.594756
4	0	2.645152
5	1	2.657252
6	0	3.738872
7	1	3.751004
8	0	4.801284
9	1	4.813452
10	0	5.894932
11	1	5.907136
12	0	6.957200
13	1	6.969444
14	0	8.050772
15	1	8.063044
16	0	9.112848
17	1	9.125164
18	0	10.206352
19	1	10.218696
20	0	11.268172
21	1	11.280560
22	0	12.361624
23	1	12.374044
24	0	13.423164
25	1	13.435624
26	0	14.516536
27	1	14.529024
28	0	15.577792
29	1	15.590328
30	0	16.671120
31	1	16.683684
32	0	17.732208
33	1	17.744812
34	0	18.825460
35	1	18.838092
36	0	19.886356
37	1	19.899036
38	0	20.979536
39	1	20.992240
40	0	22.040212
41	1	22.052960
42	0	23.133324
43	1	23.146100
44	0	24.193744
45	1	24.206564
46	0	25.286788
47	1	25.299636
48	0	26.346980
49	1	26.359868
50	0	27.439984
51	1	27.452904
52	0	28.499960
53	1	28.512920
54	0	29.592920
55	1	29.605916
56	0	30.652708
57	1	30.665740
58	0	31.745656
59	1	31.758720
60	0	32.805216
61	1	32.818320
62	0	33.898128
63	1	33.911260
64	0	34.957460
65	1	34.970632
66	0	36.050336
67	1	36.063540
68	0	37.109448
69	1	37.122692
70	0	38.202288
71	1	38.215564
72	0	39.261188
73	1	39.274504
74	0	40.353984
75	1	40.367332
76	0	41.412664
77	1	41.426052
78	0	42.505428
79	1	42.518848
80	0	43.563888
81	1	43.577352
82	0	44.656616
83	1	44.670108
84	0	45.714868
85	1	45.728400
86	0	46.807564
87	1	46.821128
88	0	47.865588
89	1	47.879196
90	0	48.958264
91	1	48.971904
92	0	50.016076
93	1	50.029752
94	0	51.108740
95	1	51.122452
96	0	52.166336
97	1	52.180088
98	0	53.258976
99	1	53.272760
100	0	54.316368
101	1	54.330196
102	0	55.408988
103	1	55.422848
104	0	56.466188
105	1	56.480088
106	0	57.558788
107	1	57.572716
108	0	58.615772
109	1	58.629744
110	0	59.708348
111	1	59.722356
112	0	60.765132
113	1	60.779176
114	0	61.857692
115	1	61.871768
116	0	62.914260
117	1	62.928376
118	0	64.006764
119	1	64.020908
120	0	65.063152
121	1	65.077344
122	0	66.155668
123	1	66.169888
124	0	67.211840
125	1	67.226112
126	0	68.304376
127	1	68.318672
128	0	69.360344
129	1	69.374684
130	0	70.452836
131	1	70.467204
132	0	71.508652
133	1	71.523068
134	0	72.601108
135	1	72.615552
136	0	73.656748
137	1	73.671232
138	0	74.749152
139	1	74.763676
140	0	75.804600
141	1	75.819160
142	0	76.897024
143	1	76.911616
144	0	77.952232
145	1	77.966872
146	0	79.044676
147	1	79.059348
148	0	80.099680
149	1	80.114396
150	0	81.192136
151	1	81.206884
152	0	82.246956
153	1	82.261748
154	0	83.339380
155	1	83.354204
156	0	84.394012
157	1	84.408880
158	0	85.486456
159	1	85.501356
160	0	86.540884
161	1	86.555824
162	0	87.633340
163	1	87.648316
164	0	88.687564
165	1	88.702584
166	0	89.780040
167	1	89.795096
168	0	90.834072
169	1	90.849168
170	0	91.926540
171	1	91.941668
172	0	92.980388
173	1	92.995564
174	0	94.072860
175	1	94.088068
176	0	95.126520
177	1	95.141772
178	0	96.218980
179	1	96.234264
180	0	97.272468
181	1	97.287796
182	0	98.364944
183	1	98.380300
184	0	99.418256
185	1	99.433664
186	0	100.510752
187	1	100.526188
188	0	101.563864
189	1	101.579348
190	0	102.656372
191	1	102.671888
192	0	103.709312
193	1	103.724868
194	0	104.801828
195	1	104.817416
196	0	105.854596
197	1	105.870232
198	0	106.947092
199	1	106.962760
200	0	107.999704
201	1	108.015420
202	0	109.092216
203	1	109.107960
204	0	110.144608
205	1	110.160400
206	0	111.237160
207	1	111.252988
208	0	112.289380
209	1	112.305248
210	0	113.381940
211	1	113.397840
212	0	114.434004
213	1	114.449956
214	0	115.526556
215	1	115.542536
216	0	116.578432
217	1	116.594460
218	0	117.671032
219	1	117.687092
220	0	118.722724
221	1	118.738836
222	0	119.815320
223	1	119.831460
224	0	120.866848
225	1	120.883036
226	0	121.959468
