#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  2 16:41:55 2016
#Id	Edge	Time
#[]	[b]	[s]
15	1	8.300116
16	0	9.363904
17	1	9.373800
18	0	10.461504
19	1	10.471428
20	0	11.534800
21	1	11.544760
22	0	12.632204
23	1	12.642192
24	0	13.705148
25	1	13.715176
26	0	14.802380
27	1	14.812432
28	0	15.874980
29	1	15.885068
30	0	16.972016
31	1	16.982132
32	0	18.044264
33	1	18.054416
34	0	19.141116
35	1	19.151296
36	0	20.213024
37	1	20.223240
38	0	21.309668
39	1	21.319912
40	0	22.381240
41	1	22.391520
42	0	23.477728
43	1	23.488032
44	0	24.548972
45	1	24.559316
46	0	25.645288
47	1	25.655656
48	0	26.716228
49	1	26.726636
50	0	27.812372
51	1	27.822808
52	0	28.882980
53	1	28.893456
54	0	29.978964
55	1	29.989464
56	0	31.049248
57	1	31.059788
58	0	32.145060
59	1	32.155628
60	0	33.215016
61	1	33.225624
62	0	34.310668
63	1	34.321300
64	0	35.380324
65	1	35.390996
66	0	36.475804
67	1	36.486504
68	0	37.545160
69	1	37.555900
70	0	38.640464
71	1	38.651228
72	0	39.709520
73	1	39.720320
74	0	40.804668
75	1	40.815496
76	0	41.873388
77	1	41.884256
78	0	42.968376
79	1	42.979268
80	0	44.036820
81	1	44.047756
82	0	45.131664
83	1	45.142620
84	0	46.199828
85	1	46.210824
86	0	47.294560
87	1	47.305584
88	0	48.362428
89	1	48.373488
90	0	49.457044
91	1	49.468136
92	0	50.524636
93	1	50.535768
94	0	51.619140
95	1	51.630300
96	0	52.686444
97	1	52.697636
98	0	53.780828
99	1	53.792048
100	0	54.847860
101	1	54.859120
102	0	55.942124
103	1	55.953412
104	0	57.008880
105	1	57.020208
106	0	58.103016
107	1	58.114368
108	0	59.169488
109	1	59.180884
110	0	60.263512
111	1	60.274932
112	0	61.329708
113	1	61.341168
114	0	62.423616
115	1	62.435108
116	0	63.489516
117	1	63.501048
118	0	64.583324
119	1	64.594876
120	0	65.648960
121	1	65.660556
122	0	66.742656
123	1	66.754280
124	0	67.808040
125	1	67.819704
126	0	68.901632
127	1	68.913324
128	0	69.966752
129	1	69.978484
130	0	71.060264
131	1	71.072028
132	0	72.125144
133	1	72.136944
134	0	73.218576
135	1	73.230400
136	0	74.283196
137	1	74.295060
138	0	75.376536
139	1	75.388428
140	0	76.440900
141	1	76.452836
142	0	77.534156
143	1	77.546116
144	0	78.598268
145	1	78.610272
146	0	79.691432
147	1	79.703464
148	0	80.755284
149	1	80.767360
150	0	81.848360
