#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  2 16:41:55 2016
#Id	Edge	Time
#[]	[b]	[s]

15	1	8.251328
16	0	9.308184
17	1	9.319240
18	0	10.402820
19	1	10.413904
20	0	11.470424
21	1	11.481544
22	0	12.564916
23	1	12.576064
24	0	13.632220
25	1	13.643408
26	0	14.726592
27	1	14.737808
28	0	15.793612
29	1	15.804868
30	0	16.887872
31	1	16.899156
32	0	17.954628
33	1	17.965952
34	0	19.048776
35	1	19.060124
36	0	20.115288
37	1	20.126676
38	0	21.209412
39	1	21.220828
40	0	22.275616
41	1	22.287072
42	0	23.369556
43	1	23.381040
44	0	24.435524
45	1	24.447044
46	0	25.529412
47	1	25.540964
48	0	26.595076
49	1	26.606668
50	0	27.688828
51	1	27.700444
52	0	28.754244
53	1	28.765904
54	0	29.847904
55	1	29.859588
56	0	30.913052
57	1	30.924780
58	0	32.006616
59	1	32.018368
60	0	33.071480
61	1	33.083272
62	0	34.164920
63	1	34.176740
64	0	35.229536
65	1	35.241396
66	0	36.322848
67	1	36.334732
68	0	37.387208
69	1	37.399136
70	0	38.480428
71	1	38.492388
72	0	39.544564
73	1	39.556560
74	0	40.637700
75	1	40.649724
76	0	41.701576
77	1	41.713640
78	0	42.794644
79	1	42.806736
80	0	43.858268
81	1	43.870396
82	0	44.951256
83	1	44.963412
84	0	46.014624
85	1	46.026828
86	0	47.107524
87	1	47.119752
88	0	48.170644
89	1	48.182916
90	0	49.263460
91	1	49.275760
92	0	50.326352
93	1	50.338692
94	0	51.419108
95	1	51.431476
96	0	52.481740
97	1	52.494148
98	0	53.574432
99	1	53.586868
100	0	54.636832
101	1	54.649312
102	0	55.729456
103	1	55.741964
104	0	56.791596
105	1	56.804148
106	0	57.884160
107	1	57.896736
108	0	58.946092
109	1	58.958708
110	0	60.038588
111	1	60.051232
112	0	61.100292
113	1	61.112984
114	0	62.192732
115	1	62.205448
116	0	63.254232
117	1	63.266992
118	0	64.346608
119	1	64.359396
120	0	65.407864
121	1	65.420688
122	0	66.500192
123	1	66.513048
124	0	67.561212
125	1	67.574112
126	0	68.653492
127	1	68.666420
128	0	69.714292
129	1	69.727260
130	0	70.806480
131	1	70.819480
132	0	71.867108
133	1	71.880148
134	0	72.959260
135	1	72.972332
136	0	74.019628
137	1	74.032740
138	0	75.111728
139	1	75.124868
140	0	76.171872
141	1	76.185056
142	0	77.263932
143	1	77.277144
144	0	78.323864
145	1	78.337116
146	0	79.415884
147	1	79.429168
148	0	80.475600
149	1	80.488924
150	0	81.567580
151	1	81.580936
152	0	82.627076
153	1	82.640472
154	0	83.719020
155	1	83.732444
156	0	84.778296
157	1	84.791768
158	0	85.870220
159	1	85.883716
160	0	86.929284
