#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  2 16:15:06 2016
#Id	Edge	Time
#[]	[b]	[s]
0	0	0.188336
1	1	0.203748
2	0	1.241996
3	1	1.257428
4	0	2.338680
5	1	2.354164
6	0	3.392172
7	1	3.407696
8	0	4.488884
9	1	4.504436
10	0	5.542168
11	1	5.557756
12	0	6.638908
13	1	6.654528
14	0	7.691976
15	1	7.707640
16	0	8.788728
17	1	8.804416
18	0	9.841632
19	1	9.857364
20	0	10.938396
21	1	10.954160
22	0	11.991124
23	1	12.006928
24	0	13.087940
25	1	13.103768
26	0	14.140460
27	1	14.156328
28	0	15.237304
29	1	15.253204
30	0	16.289640
31	1	16.305588
32	0	17.386512
33	1	17.402484
34	0	18.438660
35	1	18.454680
36	0	19.535552
37	1	19.551592
38	0	20.587524
39	1	20.603612
40	0	21.684436
41	1	21.700548
42	0	22.736228
43	1	22.752392
44	0	23.833180
45	1	23.849364
46	0	24.884792
47	1	24.901020
48	0	25.981760
49	1	25.998016
50	0	27.033184
51	1	27.049488
52	0	28.130180
53	1	28.146512
54	0	29.181432
55	1	29.197812
56	0	30.278468
57	1	30.294868
58	0	31.329548
59	1	31.346000
60	0	32.426596
61	1	32.443068
62	0	33.477504
63	1	33.494020
64	0	34.574580
65	1	34.591132
66	0	35.625316
67	1	35.641908
68	0	36.722432
69	1	36.739056
70	0	37.772992
71	1	37.789664
72	0	38.870140
73	1	38.886836
74	0	39.920540
75	1	39.937280
76	0	41.017720
77	1	41.034484
78	0	42.067932
79	1	42.084752
80	0	43.165152
81	1	43.181988
82	0	44.215200
83	1	44.232092
84	0	45.312428
85	1	45.329360
86	0	46.362304
87	1	46.379268
88	0	47.459580
89	1	47.476564
90	0	48.509280
91	1	48.526324
92	0	49.606584
93	1	49.623652
94	0	50.656116
95	1	50.673228
96	0	51.753456
97	1	51.770600
98	0	52.802816
99	1	52.820004
100	0	53.900188
101	1	53.917404
102	0	54.949384
103	1	54.966652
104	0	56.046804
105	1	56.064096
106	0	57.095812
107	1	57.113156
108	0	58.193296
109	1	58.210660
110	0	59.242124
111	1	59.259544
112	0	60.339656
113	1	60.357092
114	0	61.388332
115	1	61.405828
116	0	62.485872
117	1	62.503388
118	0	63.534380
119	1	63.551948
120	0	64.631972
121	1	64.649568
122	0	65.680336
123	1	65.697980
124	0	66.777960
125	1	66.795632
126	0	67.826156
127	1	67.843880
128	0	68.923836
129	1	68.941580
130	0	69.971848
131	1	69.989652
132	0	71.069584
133	1	71.087404
134	0	72.117424
135	1	72.135300
136	0	73.215204
137	1	73.233104
138	0	74.262888
139	1	74.280840
140	0	75.360712
141	1	75.378692
142	0	76.408204
143	1	76.426240
144	0	77.506076
145	1	77.524132
146	0	78.553400
147	1	78.571516
148	0	79.651328
149	1	79.669464
150	0	80.698492
151	1	80.716684
152	0	81.796468
153	1	81.814684
154	0	82.843468
155	1	82.861736
156	0	83.941496
157	1	83.959788
158	0	84.988336
159	1	85.006688
160	0	86.086408
161	1	86.104776
162	0	87.133092
163	1	87.151520
164	0	88.231212
165	1	88.249660
166	0	89.277732
167	1	89.296240
168	0	90.375900
169	1	90.394428
170	0	91.422248
171	1	91.440840
172	0	92.520476
173	1	92.539088
174	0	93.566668
175	1	93.585336
176	0	94.664944
177	1	94.683636
178	0	95.710976
179	1	95.729720
180	0	96.809316
181	1	96.828084
182	0	97.855164
183	1	97.873992
184	0	98.953564
185	1	98.972416
186	0	99.999248
187	1	100.018160
188	0	101.097720
189	1	101.116648
190	0	102.143228
191	1	102.162216
192	0	103.241772
193	1	103.260788
194	0	104.287120
195	1	104.306192
196	0	105.385716
197	1	105.404812
198	0	106.430896
199	1	106.450052
200	0	107.529544
201	1	107.548728
202	0	108.574560
203	1	108.593800
204	0	109.673272
205	1	109.692536
206	0	110.718112
207	1	110.737432
208	0	111.816892
209	1	111.836240
210	0	112.861568
211	1	112.880968
212	0	113.960416
213	1	113.979840
214	0	115.004924
215	1	115.024412
216	0	116.103828
217	1	116.123344
218	0	117.148172
219	1	117.167744
220	0	118.247152
221	1	118.266748
222	0	119.291320
223	1	119.310976
224	0	120.390372
225	1	120.410056
226	0	121.434368
227	1	121.454112
228	0	122.533488
229	1	122.553260
230	0	123.577324
231	1	123.597152
232	0	124.676512
233	1	124.696364
234	0	125.720184
235	1	125.740096
236	0	126.819448
237	1	126.839388
238	0	127.862944
239	1	127.882948
240	0	128.962276
241	1	128.982304
242	0	130.005608
243	1	130.025700
244	0	131.105008
245	1	131.125124
246	0	132.148168
247	1	132.168336
248	0	133.247644
249	1	133.267844
250	0	134.290632
251	1	134.310896
252	0	135.390180
253	1	135.410464
254	0	136.433004
255	1	136.453360
256	0	137.532632
257	1	137.553004
258	0	138.575292
259	1	138.595728
260	0	139.675008
261	1	139.695464
262	0	140.717512
263	1	140.738032
264	0	141.817288
265	1	141.837840
266	0	142.859616
267	1	142.880232
268	0	143.959472
269	1	143.980112
270	0	145.001628
271	1	145.022332
272	0	146.101564
273	1	146.122288
274	0	147.143544
275	1	147.164332
276	0	148.243564
277	1	148.264376
278	0	149.285372
279	1	149.306252
280	0	150.385468
281	1	150.406372
282	0	151.427120
283	1	151.448080
284	0	152.527296
285	1	152.548288
286	0	153.568772
287	1	153.589832
288	0	154.669024
289	1	154.690108
290	0	155.710340
291	1	155.731484
292	0	156.810668
293	1	156.831844
294	0	157.851816
295	1	157.873048
296	0	158.952216
297	1	158.973488
298	0	159.993196
299	1	160.014524
300	0	161.093700
301	1	161.115056
302	0	162.134504
303	1	162.155916
304	0	163.235084
305	1	163.256532
306	0	164.275712
307	1	164.297228
308	0	165.376384
309	1	165.397928
310	0	166.416844
311	1	166.438448
312	0	167.517616
313	1	167.539248
314	0	168.557896
315	1	168.579584
316	0	169.658756
317	1	169.680484
318	0	170.698876
319	1	170.720668
320	0	171.799836
321	1	171.821652
322	0	172.839780
323	1	172.861660
324	0	173.940824
325	1	173.962732
326	0	174.980608
327	1	175.002584
328	0	176.081732
329	1	176.103732
330	0	177.121336
331	1	177.143404
332	0	178.222556
333	1	178.244664
334	0	179.262000
335	1	179.284164
336	0	180.363316
337	1	180.385508
338	0	181.402588
339	1	181.424844
340	0	182.503992
341	1	182.526284
342	0	183.543096
343	1	183.565452
344	0	184.644600
345	1	184.666984
346	0	185.683528
347	1	185.705972
348	0	186.785128
349	1	186.807600
350	0	187.823892
351	1	187.846428
352	0	188.925580
353	1	188.948148
354	0	189.964164
355	1	189.986804
356	0	191.065960
357	1	191.088624
358	0	192.104364
359	1	192.127092
360	0	193.206264
361	1	193.229032
