#Creator: videoclickEventBuffer
#Creation time: Wed May  4 16:25:19 2016
#Frame	Time	x1	y1	x2	y2
#[]	[s]	[pixel]	[pixel]	[pixel]	[pixel]
22	0.840	302	115	337	230
23	0.880	303	142	337	231
24	0.920	303	166	338	231
25	0.960	304	193	338	231
26	1.000	299	213	340	233
27	1.040	293	232	349	239
28	1.080	286	249	356	246
29	1.120	279	268	363	252
30	1.160	272	286	370	259
31	1.200	265	303	377	265
32	1.240	259	322	385	271
33	1.280	253	341	392	278
34	1.320	246	358	399	284
35	1.360	239	375	405	290
36	1.400	233	393	413	295
37	1.440	226	410	420	303
38	1.480	219	428	428	310
39	1.520	213	445	434	315
40	1.560	207	462	441	320
